date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-12-19,0.22356699407100677,1,0,0.19340500235557556,0.09636080265045166,1,Fulham,0.22356699407100677,436291,0,Tom Cairney,2020,1,66,AMC,14571,3,Newcastle United,0.008645500056445599,0
2020-12-05,0,0,0,0,0,2,Fulham,0,431298,0,Tom Cairney,2020,0,6,Sub,14540,0,Manchester City,0,0
2020-11-22,0.024628600105643272,1,0,0.5199289917945862,0.38577398657798767,2,Everton,0.024628600105643272,428360,1,Tom Cairney,2020,3,60,AMC,14517,1,Fulham,0.4953010082244873,0
2020-11-07,0.045608099550008774,3,0,0.18488900363445282,0.15653899312019348,1,Fulham,0.045608099550008774,426594,0,Tom Cairney,2020,0,90,AMC,14514,1,West Ham,0.17204800248146057,0
2020-11-02,0.11553400009870529,1,0,0.8721280097961426,0.06820669770240784,2,West Bromwich Albion,0.11553400009870529,425636,0,Tom Cairney,2020,0,90,AMC,14497,2,Fulham,0.6883879899978638,0
2020-10-24,0.13789799809455872,5,1,0.2949410080909729,0.16019299626350403,1,Crystal Palace,0.13789799809455872,422856,0,Tom Cairney,2020,2,90,MC,14489,3,Fulham,0.21990199387073517,1
2020-10-18,0.025259999558329582,3,0,0.3009929955005646,0.04914870113134384,1,Fulham,0.025259999558329582,421681,0,Tom Cairney,2020,1,90,DMC,14482,1,Sheffield United,0.27573299407958984,0
2020-10-04,0,0,0,0.69793701171875,0,1,Fulham,0,420332,0,Tom Cairney,2020,0,90,DMC,14474,0,Wolverhampton Wanderers,0.69793701171875,0
2020-09-28,0.011468400247395039,3,0,0.3008120059967041,0.07262980192899704,0,Aston Villa,0.011468400247395039,418639,0,Tom Cairney,2020,3,90,MC,14114,1,Fulham,0.2714259922504425,0
2020-09-12,0,0,0,0.02052750065922737,0,0,Arsenal,0,414506,0,Tom Cairney,2020,3,90,DMC,14086,0,Fulham,0.02052750065922737,0
