date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-11-07,0.0,0,0,0.0,3,Liverpool,494942,0,Angelo Ogbonna,2021,2,21,DC,16485,0.0,0.0,0,West Ham,0.0,0
2021-10-31,0.0,0,0,0.054288100451231,1,West Ham,493194,0,Angelo Ogbonna,2021,4,90,DC,16466,0.0,0.054288100451231,0,Aston Villa,0.0,0
2021-10-24,0.0,0,0,0.10981900244951248,1,Tottenham,490507,0,Angelo Ogbonna,2021,0,90,DC,16465,0.0,0.10981900244951248,0,West Ham,0.0,0
2021-10-17,0.5607100129127502,0,1,0.07478979974985123,0,West Ham,488648,0,Angelo Ogbonna,2021,1,90,DC,16449,0.0,0.07478979974985123,2,Everton,0.5607100129127502,1
2021-10-03,0.05100959911942482,0,0,0.13523000478744507,1,Brentford,487049,0,Angelo Ogbonna,2021,2,90,DC,16444,0.0,0.08421999961137772,1,West Ham,0.05100959911942482,0
2021-09-25,0.0,0,0,0.15226499736309052,1,West Ham,484744,0,Angelo Ogbonna,2021,2,90,DC,16429,0.0,0.15226499736309052,0,Leeds,0.0,0
2021-09-19,0.0,0,0,0.023641100153326988,1,Manchester United,482609,0,Angelo Ogbonna,2021,2,90,DC,16424,0.0,0.023641100153326988,0,West Ham,0.0,0
2021-09-11,0.0,0,0,0.0,0,West Ham,480334,0,Angelo Ogbonna,2021,0,90,DC,16411,0.0,0.0,0,Southampton,0.0,0
2021-08-28,0.0,0,0,0.10029099881649017,2,Crystal Palace,478888,0,Angelo Ogbonna,2021,2,90,DC,16401,0.0,0.10029099881649017,0,West Ham,0.0,0
2021-08-23,0.0,0,0,0.2462179958820343,4,Leicester,478195,0,Angelo Ogbonna,2021,1,90,DC,16395,0.0,0.2462179958820343,0,West Ham,0.0,0
2021-08-15,0.0,0,0,0.10967499762773514,2,West Ham,476002,0,Angelo Ogbonna,2021,4,90,DC,16384,0.0,0.10967499762773514,0,Newcastle United,0.0,0
