date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2022-04-24,0.024085599929094315,0,0,0.13105499744415283,1,West Ham,529369,0,Arthur Masuaku,2021,0,90,DML,16711,0.0,0.13105499744415283,1,Chelsea,0.024085599929094315,0
2022-03-20,0.0,0,0,0.13680300116539001,3,West Ham,522070,0,Arthur Masuaku,2021,1,59,DML,16673,0.0,0.13680300116539001,0,Tottenham,0.0,0
2022-01-16,0.0,0,0,0.0,2,Leeds,508450,0,Arthur Masuaku,2021,3,25,Sub,16594,0.0,0.0,0,West Ham,0.0,0
2022-01-12,0.0,1,0,0.830357015132904,2,Norwich,507769,1,Arthur Masuaku,2021,0,9,Sub,16554,0.7402430176734924,0.830357015132904,0,West Ham,0.0,0
2022-01-01,0.0,0,0,0.0,2,West Ham,505532,0,Arthur Masuaku,2021,3,39,Sub,16579,0.0,0.0,0,Crystal Palace,0.0,0
2021-12-28,0.0,0,0,0.0,1,West Ham,505310,0,Arthur Masuaku,2021,4,6,Sub,16569,0.0,0.0,0,Watford,0.0,0
2021-12-26,0.014056500047445297,0,0,0.20549100637435913,2,Southampton,505122,0,Arthur Masuaku,2021,3,90,DL,16564,0.0,0.20549100637435913,1,West Ham,0.014056500047445297,0
2021-12-15,0.0,1,0,0.01819079928100109,2,West Ham,503319,0,Arthur Masuaku,2021,0,90,DL,16536,0.01819079928100109,0.01819079928100109,0,Arsenal,0.0,0
2021-12-12,0.0188446007668972,0,0,0.1156269982457161,0,West Ham,502236,0,Arthur Masuaku,2021,0,90,DL,16529,0.0,0.09678280353546143,1,Burnley,0.0188446007668972,0
2021-12-04,0.009969620034098625,0,1,0.009969620034098625,3,Chelsea,499624,0,Arthur Masuaku,2021,2,44,Sub,16524,0.0,0.0,1,West Ham,0.009969620034098625,1
2021-12-01,0.0,0,0,0.034828998148441315,1,Brighton,499010,0,Arthur Masuaku,2021,1,9,Sub,16510,0.0,0.034828998148441315,0,West Ham,0.0,0
2021-11-28,0.0,0,0,0.0,2,West Ham,498151,0,Arthur Masuaku,2021,1,74,AML,16504,0.0,0.0,0,Manchester City,0.0,0
2021-11-07,0.0,0,0,0.0,3,Liverpool,494950,0,Arthur Masuaku,2021,2,1,Sub,16485,0.0,0.0,0,West Ham,0.0,0
