date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-22,0.050984300673007965,1,0,0.050984300673007965,0.019936999306082726,1,Manchester United,0.050984300673007965,537806,0,Conor Gallagher,2021,0,90,AMC,16751,1,Crystal Palace,0,0
2022-05-19,0,0,0,0,0,3,Crystal Palace,0,536801,0,Conor Gallagher,2021,2,12,Sub,16704,0,Everton,0,0
2022-05-15,0.08729380369186401,0,0,0.12195999920368195,0,1,Crystal Palace,0.08729380369186401,536130,0,Conor Gallagher,2021,1,90,MC,16745,3,Aston Villa,0.08263610303401947,0
2022-05-07,0.020995499566197395,0,0,0.48021200299263,0,1,Watford,0.020995499566197395,532534,0,Conor Gallagher,2021,0,67,MC,16730,1,Crystal Palace,0.45921599864959717,0
2022-04-30,0.10793299973011017,2,0,0.23111599683761597,0.14198899269104004,1,Crystal Palace,0.10793299973011017,530545,0,Conor Gallagher,2021,2,90,MC,16720,2,Southampton,0,0
2022-04-25,0.24743099510669708,0,0,0.35354501008987427,0,0,Leeds,0.24743099510669708,529871,0,Conor Gallagher,2021,0,90,MC,16710,3,Crystal Palace,0.1431419998407364,0
2022-04-20,0,0,0,0,0,1,Crystal Palace,0,527907,0,Conor Gallagher,2021,0,62,AMC,16671,0,Newcastle United,0,0
2022-04-10,0,1,0,0,0.09312620013952255,2,Crystal Palace,0,525202,0,Conor Gallagher,2021,1,60,AMC,16691,0,Leicester,0,0
2022-04-04,0,0,0,0,0,3,Arsenal,0,523951,0,Conor Gallagher,2021,0,90,MC,16682,0,Crystal Palace,0,0
2022-03-14,0.04613859951496124,0,0,0.04613859951496124,0,0,Manchester City,0.04613859951496124,520647,0,Conor Gallagher,2021,0,90,AMC,16660,1,Crystal Palace,0,0
2022-03-05,0.10590899735689163,0,0,0.34812799096107483,0,0,Crystal Palace,0.10590899735689163,517625,0,Conor Gallagher,2021,2,90,MC,16655,2,Wolverhampton Wanderers,0.24221999943256378,0
2022-02-26,0,1,0,0.5413600206375122,0.022964200004935265,1,Burnley,0,516026,0,Conor Gallagher,2021,1,90,MC,16640,0,Crystal Palace,0.5413600206375122,0
2022-02-23,0.319038987159729,0,1,0.4236609935760498,0,1,Crystal Palace,0.319038987159729,515388,0,Conor Gallagher,2021,4,90,MC,16553,1,Watford,0.1046219989657402,1
2022-02-12,0,1,0,0,0.06698589771986008,0,Crystal Palace,0,512664,0,Conor Gallagher,2021,0,90,MC,16616,0,Brentford,0,0
2022-02-09,0.20111200213432312,1,0,0.15159699320793152,0.03409070149064064,1,Crystal Palace,0.20111200213432312,512163,0,Conor Gallagher,2021,1,90,MC,16609,2,Norwich,0.0593377985060215,0
2022-01-23,0.6055399775505066,0,0,0.6416990160942078,0,1,Liverpool,0.6055399775505066,510181,0,Conor Gallagher,2021,3,90,MC,16599,1,Crystal Palace,0.036158300936222076,0
2022-01-14,0.4677479863166809,0,1,0.49110499024391174,0,1,Crystal Palace,0.4677479863166809,507838,0,Conor Gallagher,2021,1,90,MC,16587,1,Brighton,0.49110499024391174,1
2021-12-26,0,2,0,0.13099299371242523,0.07176999747753143,3,Crystal Palace,0,505058,0,Conor Gallagher,2021,0,78,MC,16563,0,Tottenham,0.07818110287189484,0
2021-12-15,0,2,0,0.10887499898672104,0.10887499898672104,2,Southampton,0,503252,0,Conor Gallagher,2021,2,90,MC,16542,0,Crystal Palace,0,0
2021-12-12,0.7586879730224609,3,2,0.8460950255393982,0.2881790101528168,3,Everton,0.7586879730224609,502614,0,Conor Gallagher,2021,1,90,MC,16531,7,Crystal Palace,0,2
2021-12-05,0.015060000121593475,2,0,0,0.03233199939131737,1,Crystal Palace,0.015060000121593475,500527,0,Conor Gallagher,2021,0,90,MC,16519,1,Manchester United,0,0
2021-11-30,0.18599100410938263,0,0,0.08494369685649872,0,1,Crystal Palace,0.18599100410938263,498750,0,Conor Gallagher,2021,0,90,MC,16508,2,Leeds,0,0
2021-11-27,0,2,0,0.21513499319553375,0.07324829697608948,1,Aston Villa,0,497437,0,Conor Gallagher,2021,2,90,AMC,16501,0,Crystal Palace,0.14188599586486816,0
2021-11-20,0.10382799804210663,3,0,0.7886070013046265,0.6847789883613586,3,Crystal Palace,0.10382799804210663,495724,1,Conor Gallagher,2021,3,83,AMC,16487,1,Burnley,0.29596999287605286,0
