date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2022-05-22,0.0,0,0,0.3670690059661865,0,Tottenham,537955,0,Davinson Sánchez,2021,5,90,DC,16755,0.0,0.3670690059661865,0,Norwich,0.0,0
2022-05-15,0.0160227008163929,1,0,0.8833230137825012,1,Burnley,536000,0,Davinson Sánchez,2021,0,90,DC,16739,0.02610190026462078,0.8411980271339417,1,Tottenham,0.0160227008163929,0
2022-05-12,0.0,1,0,0.4913040101528168,3,Arsenal,535009,0,Davinson Sánchez,2021,0,90,DC,16593,0.0935622975230217,0.4913040101528168,0,Tottenham,0.0,0
2022-05-07,0.0,0,0,0.0,1,Tottenham,533116,0,Davinson Sánchez,2021,1,11,Sub,16728,0.0,0.0,0,Liverpool,0.0,0
2022-04-23,0.0,0,0,0.04324660077691078,0,Tottenham,528899,0,Davinson Sánchez,2021,0,15,Sub,16714,0.0,0.04324660077691078,0,Brentford,0.0,0
2022-03-07,0.0644524022936821,0,0,0.5790979862213135,5,Everton,518750,0,Davinson Sánchez,2021,0,35,Sub,16653,0.0,0.5790979862213135,1,Tottenham,0.0644524022936821,0
2022-02-19,0.0,0,0,0.0,2,Tottenham,514462,0,Davinson Sánchez,2021,3,1,Sub,16632,0.0,0.0,0,Manchester City,0.0,0
2022-02-13,0.0,0,0,0.1662829965353012,0,Wolverhampton Wanderers,513303,0,Davinson Sánchez,2021,2,90,DC,16624,0.0,0.1662829965353012,0,Tottenham,0.0,0
2022-02-09,0.0,0,0,0.9987009763717651,2,Southampton,512173,0,Davinson Sánchez,2021,3,90,DC,16613,0.0,0.9987009763717651,0,Tottenham,0.0,0
2022-01-23,0.0,0,0,0.0,2,Tottenham,510561,0,Davinson Sánchez,2021,0,90,DC,16598,0.0,0.0,0,Chelsea,0.0,0
2022-01-19,0.1633169949054718,2,0,0.18377000093460083,2,Tottenham,509173,0,Davinson Sánchez,2021,3,90,DC,16540,0.14615799486637115,0.14696399867534637,1,Leicester,0.1633169949054718,0
2022-01-01,0.6931530237197876,0,1,0.23513199388980865,0,Tottenham,505494,0,Davinson Sánchez,2021,1,90,DC,16585,0.0,0.23513199388980865,2,Watford,0.6931530237197876,1
2021-12-28,0.0485416017472744,0,0,0.7802299857139587,1,Tottenham,505244,0,Davinson Sánchez,2021,1,90,DC,16575,0.0,0.7802299857139587,1,Southampton,0.0485416017472744,0
2021-12-26,0.12210600078105927,0,0,1.257449984550476,3,Crystal Palace,505038,0,Davinson Sánchez,2021,0,90,DC,16563,0.0,1.1353399753570557,1,Tottenham,0.12210600078105927,0
2021-12-19,0.08762480318546295,0,0,0.594789981842041,2,Liverpool,504143,0,Davinson Sánchez,2021,2,90,DC,16552,0.0,0.594789981842041,1,Tottenham,0.08762480318546295,0
2021-12-05,0.5610529780387878,0,1,0.14672799408435822,3,Norwich,500535,0,Davinson Sánchez,2021,0,90,DC,16522,0.0,0.14672799408435822,1,Tottenham,0.5610529780387878,1
2021-12-02,0.0902751013636589,0,0,0.7821339964866638,2,Brentford,499406,0,Davinson Sánchez,2021,0,90,DC,16515,0.0,0.7821339964866638,1,Tottenham,0.0902751013636589,0
2021-11-21,0.0,1,0,0.026175599545240402,2,Leeds,496608,0,Davinson Sánchez,2021,1,20,Sub,16493,0.026175599545240402,0.0,0,Tottenham,0.0,0
2021-09-26,0.0,0,0,0.0,3,Tottenham,485629,0,Davinson Sánchez,2021,1,90,DC,16434,0.0,0.0,0,Arsenal,0.0,0
2021-09-19,0.0,0,0,0.0,0,Chelsea,482926,0,Davinson Sánchez,2021,3,6,Sub,16425,0.0,0.0,0,Tottenham,0.0,0
2021-08-29,0.10338199883699417,0,0,0.1320589929819107,1,Watford,479393,0,Davinson Sánchez,2021,0,90,DC,16404,0.0,0.1320589929819107,2,Tottenham,0.10338199883699417,0
2021-08-22,0.0,0,0,0.0,0,Tottenham,477574,0,Davinson Sánchez,2021,1,90,DC,16393,0.0,0.0,0,Wolverhampton Wanderers,0.0,0
2021-08-15,0.05431929975748062,0,0,0.043057698756456375,1,Manchester City,476232,0,Davinson Sánchez,2021,0,90,DC,16385,0.0,0.043057698756456375,1,Tottenham,0.05431929975748062,0
