date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-22,0,1,0,0.12275099754333496,0.021106600761413574,5,Everton,0,537849,0,Dele Alli,2021,1,70,ML,16746,0,Arsenal,0.10164500027894974,0
2022-05-19,0,1,0,0.036389801651239395,0.021213499829173088,3,Crystal Palace,0,536787,0,Dele Alli,2021,2,40,Sub,16704,0,Everton,0.036389801651239395,0
2022-05-01,0,0,0,0,0,1,Chelsea,0,531056,0,Dele Alli,2021,0,1,Sub,16724,0,Everton,0,0
2022-04-24,0,0,0,0,0,2,Everton,0,529620,0,Dele Alli,2021,0,13,Sub,16708,0,Liverpool,0,0
2022-04-20,0,0,0,0.0909804031252861,0,1,Leicester,0,527870,0,Dele Alli,2021,1,31,Sub,16547,0,Everton,0.0909804031252861,0
2022-03-13,0,0,0,0,0,0,Wolverhampton Wanderers,0,519963,0,Dele Alli,2021,1,28,Sub,16661,0,Everton,0,0
2022-03-07,0,0,0,0,0,5,Everton,0,518765,0,Dele Alli,2021,0,18,Sub,16653,0,Tottenham,0,0
2022-02-26,0,1,0,0.09375199675559998,0.09375199675559998,0,Manchester City,0,516262,0,Dele Alli,2021,1,17,Sub,16641,0,Everton,0,0
2022-02-19,0.00993505958467722,0,0,0.00993505958467722,0,2,Everton,0.00993505958467722,514287,0,Dele Alli,2021,0,14,Sub,16633,1,Southampton,0,0
2022-02-12,0.07873860001564026,2,0,0.5882899761199951,0.43967700004577637,3,Leeds,0.07873860001564026,512713,0,Dele Alli,2021,0,16,Sub,16619,1,Everton,0.4801270067691803,0
2022-02-08,0.0425403006374836,2,0,0.05273040011525154,0.04933140054345131,3,Everton,0.0425403006374836,512088,0,Dele Alli,2021,1,66,Sub,16612,1,Newcastle United,0,0
2021-12-28,0,1,0,0.031033599749207497,0.031033599749207497,1,Tottenham,0,505251,0,Dele Alli,2021,1,65,AMC,16575,0,Southampton,0,0
2021-12-19,0.4650000035762787,1,0,1.059790015220642,0.47099700570106506,2,Liverpool,0.4650000035762787,504148,0,Dele Alli,2021,2,84,MC,16552,1,Tottenham,0.12379299849271774,0
2021-11-21,0,0,0,0,0,2,Leeds,0,496610,0,Dele Alli,2021,1,1,Sub,16493,0,Tottenham,0,0
2021-10-30,0,0,0,0,0,0,Manchester United,0,492545,0,Dele Alli,2021,3,16,Sub,16473,0,Tottenham,0,0
2021-09-26,0,0,0,0.015911899507045746,0,3,Tottenham,0,485634,0,Dele Alli,2021,1,48,MC,16434,0,Arsenal,0.015911899507045746,0
2021-09-19,0,0,0,0.46075600385665894,0,0,Chelsea,0,482922,0,Dele Alli,2021,3,90,MC,16425,0,Tottenham,0.46075600385665894,0
2021-09-11,0,0,0,0,0,3,Tottenham,0,480043,0,Dele Alli,2021,0,90,AMC,16406,0,Crystal Palace,0,0
2021-08-29,0.17510800063610077,0,0,0.3518249988555908,0,1,Watford,0.17510800063610077,479399,0,Dele Alli,2021,0,90,AMC,16404,2,Tottenham,0.17671699821949005,0
2021-08-22,0,0,0,0.03095250017940998,0,0,Tottenham,0.7611690163612366,477579,0,Dele Alli,2021,1,90,MC,16393,1,Wolverhampton Wanderers,0.03095250017940998,1
2021-08-15,0,0,0,0.019126299768686295,0,1,Manchester City,0,476238,0,Dele Alli,2021,0,90,AMC,16385,0,Tottenham,0.019126299768686295,0
