date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2022-05-22,0.0,0,0,0.0,4,Southampton,537862,0,Kiernan Dewsbury-Hall,2021,1,63,AMC,16752,0.0,0.0,0,Leicester,0.0,0
2022-05-19,0.0,0,0,0.013386200182139874,1,Leicester,536850,0,Kiernan Dewsbury-Hall,2021,1,90,MC,16639,0.0,0.013386200182139874,0,Chelsea,0.0,0
2022-05-15,0.024242699146270752,3,0,0.31640198826789856,1,Leicester,536074,0,Kiernan Dewsbury-Hall,2021,5,90,MC,16738,0.24471299350261688,0.1337299942970276,1,Watford,0.024242699146270752,0
2022-05-11,0.0,3,0,0.8985139727592468,3,Norwich,534834,0,Kiernan Dewsbury-Hall,2021,0,90,DMC,16582,0.643983006477356,0.25453099608421326,0,Leicester,0.0,0
2022-05-08,0.0,2,0,0.23416000604629517,1,Everton,533432,0,Kiernan Dewsbury-Hall,2021,2,90,ML,16729,0.031595099717378616,0.202564999461174,0,Leicester,0.0,0
2022-04-23,0.03269730135798454,0,0,0.03269730135798454,0,Aston Villa,528676,0,Kiernan Dewsbury-Hall,2021,0,90,MC,16709,0.0,0.0,1,Leicester,0.03269730135798454,0
2022-04-20,0.0,2,0,0.2974959909915924,1,Leicester,527879,0,Kiernan Dewsbury-Hall,2021,1,90,AMC,16547,0.05349690094590187,0.2974959909915924,0,Everton,0.0,0
2022-04-17,0.10616400092840195,1,0,0.3172689974308014,2,Leicester,527021,0,Kiernan Dewsbury-Hall,2021,1,90,MC,16701,0.16440600156784058,0.1351339966058731,3,Newcastle United,0.10616400092840195,0
2022-04-10,0.22096499800682068,1,1,0.4166550040245056,2,Crystal Palace,525187,1,Kiernan Dewsbury-Hall,2021,1,90,MC,16691,0.12647199630737305,0.21107299625873566,2,Leicester,0.22096499800682068,1
2022-04-02,0.0,1,0,0.5814459919929504,1,Leicester,523034,0,Kiernan Dewsbury-Hall,2021,1,90,AMC,16679,0.025149499997496605,0.5562959909439087,0,Manchester United,0.0,0
2022-03-20,0.06467609852552414,1,0,0.1978680044412613,2,Brentford,521726,0,Kiernan Dewsbury-Hall,2021,1,80,AMC,16668,0.07898470014333725,0.1331920027732849,1,Leicester,0.06467609852552414,0
2022-03-13,0.038318898528814316,1,0,0.3633959889411926,2,Leicester,520351,0,Kiernan Dewsbury-Hall,2021,0,90,DMC,16656,0.25227901339530945,0.32507699728012085,1,Arsenal,0.038318898528814316,0
2022-03-05,0.0,0,0,0.172666996717453,1,Leeds,517258,0,Kiernan Dewsbury-Hall,2021,0,90,MC,16648,0.0,0.172666996717453,0,Leicester,0.0,0
2022-03-01,0.22284600138664246,3,0,0.7324489951133728,0,Leicester,517087,0,Kiernan Dewsbury-Hall,2021,2,90,MC,16588,0.154789999127388,0.577659010887146,3,Burnley,0.22284600138664246,0
2022-02-20,0.0,3,0,0.26528701186180115,2,Leicester,514976,0,Kiernan Dewsbury-Hall,2021,1,90,MC,16635,0.13272300362586975,0.1546030044555664,0,Wolverhampton Wanderers,0.0,0
2022-02-13,0.029121600091457367,2,0,0.23511900007724762,2,West Ham,513489,0,Kiernan Dewsbury-Hall,2021,2,90,MC,16620,0.13955900073051453,0.06643880158662796,1,Leicester,0.029121600091457367,0
2022-02-10,0.0,0,0,0.0,2,Leicester,512300,0,Kiernan Dewsbury-Hall,2021,0,90,DMC,16614,0.0,0.0,0,Liverpool,0.0,0
2022-01-23,0.019382599741220474,0,0,0.30271100997924805,1,Brighton,510208,0,Kiernan Dewsbury-Hall,2021,1,90,DMC,16602,0.0,0.30271100997924805,1,Leicester,0.019382599741220474,0
2022-01-19,0.02580760046839714,4,0,1.703089952468872,2,Tottenham,509164,0,Kiernan Dewsbury-Hall,2021,3,90,MC,16540,0.7184849977493286,0.9833800196647644,1,Leicester,0.02580760046839714,0
2021-12-28,0.0,1,0,0.29544898867607117,1,Liverpool,505320,1,Kiernan Dewsbury-Hall,2021,0,90,MC,16573,0.07329209893941879,0.22215700149536133,0,Leicester,0.0,0
2021-12-26,0.04972799867391586,1,0,0.8148769736289978,6,Leicester,505112,0,Kiernan Dewsbury-Hall,2021,3,90,MC,16560,0.019367700442671776,0.7651489973068237,1,Manchester City,0.04972799867391586,0
2021-12-12,0.0,2,0,0.5913950204849243,4,Newcastle United,502253,0,Kiernan Dewsbury-Hall,2021,0,90,AMC,16532,0.038999199867248535,0.5523959994316101,0,Leicester,0.0,0
2021-12-05,0.4120219945907593,1,0,0.5101850032806396,2,Leicester,500880,0,Kiernan Dewsbury-Hall,2021,1,89,DMC,16516,0.05264420062303543,0.5101850032806396,2,Aston Villa,0.4120219945907593,0
2021-12-01,0.04864349961280823,0,0,0.24247799813747406,2,Leicester,499115,0,Kiernan Dewsbury-Hall,2021,2,43,Sub,16514,0.0,0.21504899859428406,2,Southampton,0.04864349961280823,0
2021-11-28,0.0,0,0,0.0,4,Watford,498054,0,Kiernan Dewsbury-Hall,2021,2,1,Sub,16502,0.0,0.0,0,Leicester,0.0,0
2021-11-20,0.0,1,0,0.014137299731373787,0,Chelsea,495381,0,Kiernan Dewsbury-Hall,2021,3,13,Sub,16488,0.014137299731373787,0.0,0,Leicester,0.0,0
