date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-22,0.22353599965572357,5,1,0.8161119818687439,0.2885740101337433,5,Everton,0.22353599965572357,537834,0,Martin Ødegaard,2021,1,90,AMC,16746,3,Arsenal,0.41489699482917786,1
2022-05-16,0.08661670237779617,3,0,0.2660309970378876,0.12635700404644012,2,Arsenal,0.08661670237779617,536739,0,Martin Ødegaard,2021,0,90,AMC,16741,1,Newcastle United,0.07054530084133148,0
2022-05-12,0.18797199428081512,1,0,0.252267986536026,0.026660200208425522,3,Arsenal,0.18797199428081512,535030,0,Martin Ødegaard,2021,0,90,AMC,16593,4,Tottenham,0.053390100598335266,0
2022-05-08,0.25418999791145325,3,0,0.48185500502586365,0.1992029994726181,2,Leeds,0.25418999791145325,533458,0,Martin Ødegaard,2021,1,90,MC,16735,3,Arsenal,0.2961620092391968,0
2022-05-01,0,3,0,0.22483700513839722,0.17431199550628662,1,Arsenal,0,531340,0,Martin Ødegaard,2021,2,90,MC,16717,0,West Ham,0.05052490159869194,0
2022-04-23,0.10543700307607651,2,0,0.6098920106887817,0.5018690228462219,3,Manchester United,0.10543700307607651,528377,0,Martin Ødegaard,2021,1,90,AMC,16715,2,Arsenal,0.11396200209856033,0
2022-04-20,0,3,0,0.3824149966239929,0.2005620002746582,2,Arsenal,0,527935,1,Martin Ødegaard,2021,4,90,AMC,16618,0,Chelsea,0.3499250113964081,0
2022-04-16,0.10352200269699097,4,0,0.44515401124954224,0.17445799708366394,1,Arsenal,0.10352200269699097,526416,0,Martin Ødegaard,2021,0,90,MC,16700,3,Southampton,0.2415280044078827,0
2022-04-09,0.18099400401115417,0,1,0.7850390076637268,0,1,Brighton,0.18099400401115417,524582,0,Martin Ødegaard,2021,2,90,MC,16695,4,Arsenal,0.7140290141105652,1
2022-04-04,0.39851000905036926,0,0,0.4224250018596649,0,3,Arsenal,0.39851000905036926,523966,0,Martin Ødegaard,2021,0,90,AMC,16682,3,Crystal Palace,0.03435429930686951,0
2022-03-19,0.0715600997209549,2,0,1.054550051689148,0.1508380025625229,0,Arsenal,0.0715600997209549,521038,0,Martin Ødegaard,2021,1,89,MC,16666,1,Aston Villa,0.9245110154151917,0
2022-03-16,0.33723199367523193,1,0,0.3537429869174957,0.016511699184775352,0,Liverpool,0.33723199367523193,520759,0,Martin Ødegaard,2021,2,67,AMC,16636,1,Arsenal,0,0
2022-03-13,0,6,0,0.6767510175704956,0.4127649962902069,2,Leicester,0,520339,0,Martin Ødegaard,2021,0,90,AMC,16656,0,Arsenal,0.2639870047569275,0
2022-03-06,0.09653150290250778,4,1,0.7328709959983826,0.34147998690605164,2,Arsenal,0.09653150290250778,518316,0,Martin Ødegaard,2021,3,90,AMC,16654,1,Watford,0.5907610058784485,1
2022-02-24,0.20248499512672424,1,0,1.2848399877548218,0.3392750024795532,2,Wolverhampton Wanderers,0.20248499512672424,515404,0,Martin Ødegaard,2021,1,90,AMC,16566,2,Arsenal,0.855849027633667,0
2022-02-19,0.4463900029659271,1,0,0.42312899231910706,0.025137199088931084,2,Brentford,0.4463900029659271,514157,0,Martin Ødegaard,2021,1,90,AMC,16626,3,Arsenal,0.04531969875097275,0
2022-02-10,0,2,0,0.27740299701690674,0.08021800220012665,0,Arsenal,0,512274,0,Martin Ødegaard,2021,1,71,AMC,16611,0,Wolverhampton Wanderers,0.24898500740528107,0
2022-01-23,0.24273300170898438,4,0,0.36075299978256226,0.1811700016260147,0,Burnley,0.24273300170898438,510325,0,Martin Ødegaard,2021,0,90,MC,16596,3,Arsenal,0.12036799639463425,0
2022-01-01,0,0,0,0.17308199405670166,0,1,Manchester City,0,505461,0,Martin Ødegaard,2021,2,65,AMC,16576,0,Arsenal,0.17308199405670166,0
2021-12-26,0.13503199815750122,3,0,0.9699640274047852,0.23614199459552765,0,Arsenal,0.13503199815750122,505087,2,Martin Ødegaard,2021,5,90,AMC,16562,3,Norwich,0.6824550032615662,0
2021-12-18,0.16823099553585052,5,0,2.003920078277588,1.509119987487793,1,Arsenal,0.16823099553585052,503867,1,Martin Ødegaard,2021,4,88,AMC,16548,2,Leeds,1.3076900243759155,0
2021-12-15,0.08131259679794312,2,0,0.3121599853038788,0.1715179979801178,2,West Ham,0.08131259679794312,503310,0,Martin Ødegaard,2021,0,66,AMC,16536,1,Arsenal,0.14064200222492218,0
2021-12-11,0.21800300478935242,2,1,1.207319974899292,0.5260360240936279,3,Southampton,0.21800300478935242,501705,0,Martin Ødegaard,2021,0,90,AMC,16526,3,Arsenal,0.5491210222244263,1
2021-12-06,0.293614000082016,3,1,0.4305889904499054,0.1815679967403412,2,Arsenal,0.293614000082016,501159,0,Martin Ødegaard,2021,1,90,AMC,16517,3,Everton,0.013620699755847454,1
2021-12-02,0.0834805965423584,4,1,0.23905399441719055,0.19963300228118896,3,Arsenal,0.0834805965423584,499486,0,Martin Ødegaard,2021,2,83,AMC,16512,1,Manchester United,0.04634600132703781,1
2021-11-27,0.08325149863958359,2,0,0.9808610081672668,0.14975599944591522,2,Newcastle United,0.08325149863958359,497079,0,Martin Ødegaard,2021,0,90,AMC,16496,2,Arsenal,0.8959289789199829,0
2021-11-20,0,0,0,0,0,4,Arsenal,0,495954,0,Martin Ødegaard,2021,0,22,Sub,16489,0,Liverpool,0,0
2021-11-07,0.09749449789524078,0,0,0.08572059869766235,0,1,Watford,0.09749449789524078,494510,0,Martin Ødegaard,2021,0,18,Sub,16476,1,Arsenal,0.08572059869766235,0
2021-10-30,0,2,0,0.18092800676822662,0.18092800676822662,0,Arsenal,0,491934,0,Martin Ødegaard,2021,2,30,Sub,16468,0,Leicester,0,0
2021-10-22,0.03235980123281479,0,0,0.07059340178966522,0,3,Aston Villa,0.03235980123281479,489555,0,Martin Ødegaard,2021,1,16,Sub,16456,1,Arsenal,0.07059340178966522,0
2021-10-18,0,0,0,0.016012700274586678,0,2,Crystal Palace,0,489365,0,Martin Ødegaard,2021,2,70,DMC,16446,0,Arsenal,0.016012700274586678,0
2021-10-02,0,0,0,0.12172800302505493,0,0,Arsenal,0,486711,0,Martin Ødegaard,2021,0,64,AMC,16436,0,Brighton,0.12172800302505493,0
2021-09-26,0,3,0,0.6569520235061646,0.07698529958724976,3,Tottenham,0,485621,0,Martin Ødegaard,2021,1,90,AMC,16434,0,Arsenal,0.6295760273933411,0
2021-09-18,0.0930934026837349,2,1,0.376336008310318,0.09114199876785278,0,Arsenal,0.0930934026837349,482079,0,Martin Ødegaard,2021,1,90,MC,16419,2,Burnley,0.2716659903526306,1
2021-09-11,0,2,0,0.4429579973220825,0.03973330184817314,1,Norwich,0,480273,0,Martin Ødegaard,2021,0,90,AMC,16407,0,Arsenal,0.40322399139404297,0
2021-08-28,0,0,0,0.11680500209331512,0,5,Arsenal,0,478701,0,Martin Ødegaard,2021,0,74,MC,16396,0,Manchester City,0.11680500209331512,0
