date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-22,0.03502430021762848,1,0,0.12634600698947906,0.09132160246372223,5,Everton,0.03502430021762848,537839,1,Nicolas Pépé,2021,1,9,Sub,16746,1,Arsenal,0.03502430021762848,0
2022-05-16,0,0,0,0.1441749930381775,0,2,Arsenal,0,536745,0,Nicolas Pépé,2021,0,16,Sub,16741,0,Newcastle United,0.1441749930381775,0
2022-05-08,0,0,0,0,0,2,Leeds,0,533465,0,Nicolas Pépé,2021,1,18,Sub,16735,0,Arsenal,0,0
2022-04-16,0.06266780197620392,0,0,0.21214300394058228,0,1,Arsenal,0.06266780197620392,526422,0,Nicolas Pépé,2021,0,18,Sub,16700,1,Southampton,0.14947499334812164,0
2022-04-09,0.6702849864959717,0,0,0.6851800084114075,0,1,Brighton,0.6702849864959717,524588,0,Nicolas Pépé,2021,2,11,Sub,16695,2,Arsenal,0.014894500374794006,0
2022-03-19,0,0,0,0.0928201973438263,0,0,Arsenal,0,521045,0,Nicolas Pépé,2021,1,18,Sub,16666,0,Aston Villa,0.0928201973438263,0
2022-03-16,0,0,0,0,0,0,Liverpool,0,520764,0,Nicolas Pépé,2021,2,16,Sub,16636,0,Arsenal,0,0
2022-03-13,0,0,0,0,0,2,Leicester,0,520344,0,Nicolas Pépé,2021,0,4,Sub,16656,0,Arsenal,0,0
2022-03-06,0.06492029875516891,0,0,0.06492029875516891,0,2,Arsenal,0.06492029875516891,518321,0,Nicolas Pépé,2021,3,15,Sub,16654,1,Watford,0,0
2022-02-24,0.5051040053367615,0,1,0.5051040053367615,0,2,Wolverhampton Wanderers,0.5051040053367615,515409,0,Nicolas Pépé,2021,1,17,Sub,16566,1,Arsenal,0,1
2022-02-19,0.14474600553512573,0,0,0.14474600553512573,0,2,Brentford,0.14474600553512573,514161,0,Nicolas Pépé,2021,1,11,Sub,16626,1,Arsenal,0,0
2021-12-26,0.07059720158576965,0,0,0.07059720158576965,0,0,Arsenal,0.07059720158576965,505092,0,Nicolas Pépé,2021,5,10,Sub,16562,1,Norwich,0,0
2021-12-11,0,0,0,0,0,3,Southampton,0,501709,0,Nicolas Pépé,2021,0,4,Sub,16526,0,Arsenal,0,0
2021-10-30,0,0,0,0,0,0,Arsenal,0,491935,0,Nicolas Pépé,2021,2,3,Sub,16468,0,Leicester,0,0
2021-10-18,0.1940159946680069,0,0,0.2151940017938614,0,2,Crystal Palace,0.1940159946680069,489366,0,Nicolas Pépé,2021,2,90,AMR,16446,3,Arsenal,0.2151940017938614,0
2021-10-02,0,0,0,0,0,0,Arsenal,0,486716,0,Nicolas Pépé,2021,0,26,Sub,16436,0,Brighton,0,0
2021-09-18,0.573166012763977,2,0,0.8456040024757385,0.1471560001373291,0,Arsenal,0.573166012763977,482078,0,Nicolas Pépé,2021,1,90,MR,16419,2,Burnley,0.14737899601459503,0
2021-09-11,0.9157270193099976,6,0,1.9273699522018433,0.9361749887466431,1,Norwich,0.9157270193099976,480272,1,Nicolas Pépé,2021,0,90,AMR,16407,6,Arsenal,0.29143598675727844,0
2021-08-22,0,0,0,0.08961620181798935,0,0,Chelsea,0,477834,0,Nicolas Pépé,2021,2,90,AMR,16394,0,Arsenal,0.08961620181798935,0
2021-08-13,0.21239599585533142,3,0,0.38420599699020386,0.1562899947166443,2,Arsenal,0.21239599585533142,475193,0,Nicolas Pépé,2021,0,90,AMR,16376,4,Brentford,0.22272899746894836,0
