date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2022-05-19,0.27759501338005066,0,1,0.22046799957752228,3,Crystal Palace,536782,0,Richarlison,2021,2,90,AMC,16704,0.0,0.015176299959421158,5,Everton,0.27759501338005066,1
2022-05-15,1.4757299423217773,3,0,1.0093799829483032,2,Brentford,536234,1,Richarlison,2021,3,90,FWL,16744,1.0645099878311157,0.014167699962854385,5,Everton,0.7145609855651855,1
2022-05-11,0.16324500739574432,2,0,0.15832099318504333,0,Everton,534825,0,Richarlison,2021,0,90,FW,16674,0.0917384997010231,0.0,2,Watford,0.16324500739574432,0
2022-05-08,0.5162100195884705,1,0,0.3700200021266937,1,Everton,533448,0,Richarlison,2021,2,90,FW,16729,0.12071000039577484,0.0,3,Leicester,0.5162100195884705,0
2022-05-01,0.3993209898471832,0,1,0.3993209898471832,1,Chelsea,531053,0,Richarlison,2021,0,82,FW,16724,0.0,0.0,2,Everton,0.3993209898471832,1
2022-04-24,0.06686560064554214,2,0,0.2885420024394989,2,Everton,529617,0,Richarlison,2021,0,90,FW,16708,0.15365399420261383,0.06802300363779068,2,Liverpool,0.06686560064554214,0
2022-04-20,1.3278499841690063,0,1,1.3905199766159058,1,Leicester,527867,0,Richarlison,2021,1,90,FW,16547,0.0,0.14011600613594055,6,Everton,1.3278499841690063,1
2022-04-09,0.0691922977566719,0,0,0.17121699452400208,1,Manchester United,524344,0,Richarlison,2021,0,90,FWL,16692,0.0,0.10202500224113464,2,Everton,0.0691922977566719,0
2022-04-06,1.845960021018982,3,0,0.5255740284919739,3,Everton,524152,0,Richarlison,2021,2,90,FWL,16558,0.1552010029554367,0.12850899994373322,6,Burnley,0.32365599274635315,2
2022-04-03,0.30909299850463867,1,0,0.358720988035202,2,Everton,523458,1,Richarlison,2021,1,90,FWL,16677,0.03752560168504715,0.13012300431728363,5,West Ham,0.30909299850463867,0
2022-03-17,0.0,0,0,0.0,1,Newcastle United,520789,0,Richarlison,2021,0,89,FW,16571,0.0,0.0,0,Everton,0.0,0
2022-03-13,0.1882620006799698,0,0,0.1882620006799698,0,Wolverhampton Wanderers,519960,0,Richarlison,2021,1,90,FW,16661,0.0,0.05341130122542381,4,Everton,0.1882620006799698,0
2022-03-07,0.02476559951901436,0,0,0.02476559951901436,5,Everton,518762,0,Richarlison,2021,0,90,FW,16653,0.0,0.0,1,Tottenham,0.02476559951901436,0
2022-02-26,0.5386160016059875,0,0,0.5386160016059875,0,Manchester City,516260,0,Richarlison,2021,1,90,FW,16641,0.0,0.0,2,Everton,0.5386160016059875,0
2022-02-19,0.02193179912865162,0,0,0.043885599821805954,2,Everton,514283,0,Richarlison,2021,0,90,FW,16633,0.0,0.021953800693154335,1,Southampton,0.02193179912865162,0
2022-02-12,0.1968419998884201,3,0,0.6211040019989014,3,Leeds,512709,1,Richarlison,2021,0,88,FW,16619,0.2332260012626648,0.19103600084781647,3,Everton,0.1968419998884201,0
2022-02-08,0.08158879727125168,1,0,0.10775700211524963,3,Everton,512086,0,Richarlison,2021,1,90,FW,16612,0.493927001953125,0.07562509924173355,2,Newcastle United,0.08158879727125168,0
2022-01-22,0.1715420037508011,0,0,0.6779940128326416,0,Aston Villa,509466,0,Richarlison,2021,1,90,FW,16600,0.0,0.5064520239830017,3,Everton,0.1715420037508011,0
2022-01-15,0.09085089713335037,0,1,0.1286659985780716,2,Everton,508134,0,Richarlison,2021,1,35,Sub,16592,0.0,0.11179199814796448,3,Norwich,0.09085089713335037,1
2021-12-12,0.0,0,0,0.0,3,Everton,502631,0,Richarlison,2021,1,60,FW,16531,0.0,0.0,0,Crystal Palace,0.0,0
