date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2022-05-22,0.0,0,0,0.0,4,Southampton,537880,0,Shane Long,2021,1,7,Sub,16752,0.0,0.0,0,Leicester,0.0,0
2022-04-30,0.13363699615001678,1,0,0.2224780023097992,1,Crystal Palace,530534,0,Shane Long,2021,2,68,FW,16720,0.08884140104055405,0.0,1,Southampton,0.13363699615001678,0
2022-04-24,0.3133449852466583,0,0,0.18378999829292297,2,Southampton,529288,0,Shane Long,2021,2,84,FW,16713,0.0,0.0,4,Brighton,0.3133449852466583,0
2022-04-16,0.0,0,0,0.0,1,Arsenal,526407,0,Shane Long,2021,0,14,Sub,16700,0.0,0.0,0,Southampton,0.0,0
2022-04-02,0.0698229968547821,0,0,0.0,1,Southampton,522828,0,Shane Long,2021,1,1,Sub,16681,0.0,0.0,1,Leeds,0.0698229968547821,0
2022-03-13,0.0,1,0,0.04025400057435036,1,Watford,520136,0,Shane Long,2021,2,1,Sub,16664,0.04025400057435036,0.0,0,Southampton,0.0,0
2022-03-10,0.0,0,0,0.0,1,Newcastle United,518922,0,Shane Long,2021,2,8,Sub,16584,0.0,0.0,0,Southampton,0.0,0
2022-02-25,0.0,0,0,0.0,2,Norwich,515582,0,Shane Long,2021,0,6,Sub,16644,0.0,0.0,0,Southampton,0.0,0
2022-02-19,0.44522199034690857,0,1,0.44522199034690857,2,Everton,514271,0,Shane Long,2021,0,6,Sub,16633,0.0,0.0,1,Southampton,0.44522199034690857,1
2022-02-09,0.0,0,0,0.053668998181819916,2,Southampton,512196,0,Shane Long,2021,3,1,Sub,16613,0.0,0.053668998181819916,0,Tottenham,0.0,0
2021-12-28,0.0,0,0,0.016808100044727325,1,Tottenham,505239,0,Shane Long,2021,1,74,FW,16575,0.0,0.016808100044727325,0,Southampton,0.0,0
2021-12-15,0.08152130246162415,0,0,0.0,2,Southampton,503270,0,Shane Long,2021,2,18,Sub,16542,0.0,0.0,1,Crystal Palace,0.08152130246162415,0
2021-09-26,0.12681199610233307,0,0,0.16168199479579926,0,Wolverhampton Wanderers,485470,0,Shane Long,2021,1,15,Sub,16433,0.0,0.034870099276304245,1,Southampton,0.12681199610233307,0
