date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-17,0.20326699316501617,1,1,0.407382994890213,0.06919270008802414,1,Liverpool,0.20326699316501617,536768,0,Takumi Minamino,2021,2,90,FWR,16740,4,Southampton,0.1349239945411682,1
2022-02-19,0,0,0,0,0,3,Norwich,0,514244,0,Takumi Minamino,2021,1,1,Sub,16631,0,Liverpool,0,0
2022-02-10,0,0,0,0,0,2,Leicester,0,512292,0,Takumi Minamino,2021,0,1,Sub,16614,0,Liverpool,0,0
2022-01-23,0,0,0,0,0,1,Liverpool,0,510199,0,Takumi Minamino,2021,3,29,Sub,16599,0,Crystal Palace,0,0
2022-01-16,0.6441739797592163,1,1,1.1352900266647339,0.49112099409103394,3,Brentford,0.6441739797592163,508478,0,Takumi Minamino,2021,0,15,Sub,16589,2,Liverpool,0,1
2021-12-11,0,0,0,0,0,1,Aston Villa,0,501651,0,Takumi Minamino,2021,0,1,Sub,16533,0,Liverpool,0,0
2021-12-01,0,0,0,0,0,1,Liverpool,0,499371,0,Takumi Minamino,2021,4,1,Sub,16507,0,Everton,0,0
2021-11-27,0,0,0,0.03943059965968132,0,4,Southampton,0,497412,0,Takumi Minamino,2021,0,7,Sub,16503,0,Liverpool,0.03943059965968132,0
2021-11-20,0.9159119725227356,0,1,0.9159119725227356,0,4,Arsenal,0.9159119725227356,495939,0,Takumi Minamino,2021,0,13,Sub,16489,1,Liverpool,0,1
2021-11-07,0,0,0,0.03454170003533363,0,3,Liverpool,0,494965,0,Takumi Minamino,2021,2,3,Sub,16485,0,West Ham,0.03454170003533363,0
2021-10-30,0,0,0,0.10493200272321701,0,2,Brighton,0,492277,0,Takumi Minamino,2021,2,1,Sub,16469,0,Liverpool,0.10493200272321701,0
