date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-21,0.027992399409413338,1,0,0.18394100666046143,0.022725200280547142,1,Lyon,0.027992399409413338,537621,0,Tanguy Ndombele,2021,2,18,Sub,18199,1,Clermont Foot,0.13322299718856812,0
2022-05-14,0,0,0,0.13696199655532837,0,3,Nantes,0,535913,0,Tanguy Ndombele,2021,2,63,MC,18191,0,Lyon,0.13696199655532837,0
2022-05-08,0.013874899595975876,0,0,0.482697993516922,0,3,Lyon,0.013874899595975876,533267,0,Tanguy Ndombele,2021,2,41,Sub,18176,1,Metz,0.46882298588752747,0
2022-05-01,0,0,0,0.45278701186180115,0,0,Lyon,0,531500,0,Tanguy Ndombele,2021,3,21,Sub,18164,0,Marseille,0.45278701186180115,0
2022-04-10,0,2,0,0.744342029094696,0.07374410331249237,1,Lyon,0,525681,0,Tanguy Ndombele,2021,1,89,DMC,18131,0,Strasbourg,0.744342029094696,0
2022-04-03,0,2,0,1.069100022315979,0.4404489994049072,3,Angers,0,523586,1,Tanguy Ndombele,2021,2,78,DMC,18114,0,Lyon,1.069100022315979,0
2022-03-13,0.024799399077892303,0,0,0.04216679930686951,0,2,Rennes,0.024799399077892303,520247,0,Tanguy Ndombele,2021,4,80,DMC,18096,1,Lyon,0.017367400228977203,0
2022-02-27,0,1,0,0.08756759762763977,0.012292499653995037,0,Lille,0,516915,0,Tanguy Ndombele,2021,1,90,DMC,18079,0,Lyon,0.07527510076761246,0
2022-02-19,0.07308799773454666,0,0,0.11831700056791306,0,1,Lyon,0.07308799773454666,514367,0,Tanguy Ndombele,2021,1,90,DMC,18068,1,Lens,0.04522940143942833,0
2022-02-12,0.05137459933757782,2,0,1.446679949760437,0.9150320291519165,2,Nice,0.05137459933757782,512944,1,Tanguy Ndombele,2021,0,90,DMC,18060,1,Lyon,0.5306699872016907,0
2022-02-05,0,1,0,0.07176169753074646,0.025262299925088882,2,Lyon,0,511384,0,Tanguy Ndombele,2021,0,44,Sub,18047,0,Monaco,0.07176169753074646,0
2021-12-26,0,0,0,0,0,3,Crystal Palace,0,505048,0,Tanguy Ndombele,2021,0,9,Sub,16563,0,Tottenham,0,0
2021-12-19,0,1,0,0.32576701045036316,0.12379299849271774,2,Liverpool,0,504147,1,Tanguy Ndombele,2021,2,67,MC,16552,0,Tottenham,0.2019750028848648,0
2021-11-07,0,0,0,0,0,0,Tottenham,0,494611,0,Tanguy Ndombele,2021,0,4,Sub,16481,0,Everton,0,0
2021-10-30,0,0,0,0,0,0,Manchester United,0,492543,0,Tanguy Ndombele,2021,3,23,Sub,16473,0,Tottenham,0,0
2021-10-24,0.1389700025320053,1,0,0.4159710109233856,0.321817010641098,1,Tottenham,0.1389700025320053,490525,0,Tanguy Ndombele,2021,0,85,AMC,16465,2,West Ham,0,0
2021-10-17,0.27450698614120483,0,1,0.8946110010147095,0,2,Tottenham,0.27450698614120483,489085,0,Tanguy Ndombele,2021,3,90,AMC,16452,5,Newcastle United,0.704255998134613,1
2021-10-03,0.11478299647569656,1,0,0.2934429943561554,0.15583699941635132,2,Aston Villa,0.11478299647569656,487027,0,Tanguy Ndombele,2021,1,77,AMC,16443,1,Tottenham,0.17866000533103943,0
2021-09-26,0,0,0,0.05909540131688118,0,3,Tottenham,0,485633,0,Tanguy Ndombele,2021,1,72,MC,16434,0,Arsenal,0.05909540131688118,0
2021-09-19,0.016181500628590584,1,0,0.4502060115337372,0.01943179965019226,0,Chelsea,0.016181500628590584,482921,0,Tanguy Ndombele,2021,3,63,MC,16425,1,Tottenham,0.43402400612831116,0
