date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-22,0.4288330078125,1,0,0.1396999955177307,0.11930300295352936,4,Southampton,0.4288330078125,537855,0,Timothy Castagne,2021,1,70,DR,16752,1,Leicester,0.1396999955177307,0
2022-05-19,0,0,0,0,0,1,Leicester,0,536849,0,Timothy Castagne,2021,1,90,MR,16639,0,Chelsea,0,0
2022-05-15,0.4139060080051422,1,0,0.6264700293540955,0.024242699146270752,1,Leicester,0.4139060080051422,536067,0,Timothy Castagne,2021,5,90,DR,16738,3,Watford,0.27460500597953796,0
2022-05-11,0,2,0,0.23987099528312683,0.0702648013830185,3,Norwich,0,534829,0,Timothy Castagne,2021,0,90,DR,16582,0,Leicester,0.20841899514198303,0
2022-05-08,0.01750520057976246,3,0,0.49494999647140503,0.3517949879169464,1,Everton,0.01750520057976246,533429,0,Timothy Castagne,2021,2,90,MR,16729,1,Leicester,0.14300799369812012,0
2022-05-01,0,1,0,0.16916699707508087,0.08107239753007889,3,Leicester,0,531030,0,Timothy Castagne,2021,1,90,DC,16719,0,Tottenham,0.08809450268745422,0
2022-04-23,0,0,0,0,0,0,Aston Villa,0,528672,0,Timothy Castagne,2021,0,90,DL,16709,0,Leicester,0,0
2022-04-20,0,0,0,0.2974959909915924,0,1,Leicester,0,527875,0,Timothy Castagne,2021,1,90,DL,16547,0,Everton,0.2974959909915924,0
2022-04-10,0,0,0,0,0,2,Crystal Palace,0,525191,0,Timothy Castagne,2021,1,1,Sub,16691,0,Leicester,0,0
2022-04-02,0,1,0,0.21952100098133087,0.08262670040130615,1,Leicester,0,523030,0,Timothy Castagne,2021,1,90,DL,16679,0,Manchester United,0.13689400255680084,0
2022-03-20,0.02593589946627617,0,1,0.13752399384975433,0,2,Brentford,0.02593589946627617,521722,0,Timothy Castagne,2021,1,65,DL,16668,1,Leicester,0.13752399384975433,1
2021-12-28,0,1,0,0.1641010046005249,0.09080860018730164,1,Liverpool,0,505314,0,Timothy Castagne,2021,0,90,DR,16573,0,Leicester,0.07329209893941879,0
2021-12-26,0,0,0,1.0813000202178955,0,6,Leicester,0,505116,0,Timothy Castagne,2021,3,42,Sub,16560,0,Manchester City,1.0813000202178955,0
2021-12-12,0,0,0,0,0,4,Newcastle United,0,502246,0,Timothy Castagne,2021,0,90,DR,16532,0,Leicester,0,0
2021-12-05,0,0,0,0.14613500237464905,0,2,Leicester,0,500875,0,Timothy Castagne,2021,1,90,DR,16516,0,Aston Villa,0.14613500237464905,0
2021-12-01,0,0,0,0.19402000308036804,0,2,Leicester,0,499103,0,Timothy Castagne,2021,2,90,DR,16514,0,Southampton,0.19402000308036804,0
2021-11-28,0,1,0,0.36029601097106934,0.13105300068855286,4,Watford,0,498043,0,Timothy Castagne,2021,2,90,DR,16502,0,Leicester,0.36029601097106934,0
2021-11-20,0,0,0,0.009849829599261284,0,0,Chelsea,0,495374,0,Timothy Castagne,2021,3,90,DML,16488,0,Leicester,0.009849829599261284,0
2021-11-07,0,0,0,0.1446239948272705,0,1,Leicester,0,494630,0,Timothy Castagne,2021,1,90,DL,16482,0,Leeds,0.1446239948272705,0
2021-10-30,0,1,0,0.3567560017108917,0.016186699271202087,0,Arsenal,0,491912,0,Timothy Castagne,2021,2,90,MR,16468,0,Leicester,0.34057000279426575,0
2021-10-24,0,0,0,0.043992798775434494,0,1,Leicester,0,490465,0,Timothy Castagne,2021,2,90,ML,16457,0,Brentford,0.043992798775434494,0
2021-10-16,0.05429929867386818,1,0,0.27185699343681335,0.02778960019350052,4,Manchester United,0.05429929867386818,488106,0,Timothy Castagne,2021,2,90,ML,16450,1,Leicester,0.21755699813365936,0
2021-10-03,0,0,0,0,0,2,Leicester,0,487006,0,Timothy Castagne,2021,2,90,DR,16439,0,Crystal Palace,0,0
2021-09-25,0,1,0,0.2203489989042282,0.09132339805364609,2,Burnley,0,484682,0,Timothy Castagne,2021,2,40,Sub,16430,0,Leicester,0.12902499735355377,0
2021-09-19,0,0,0,0.02862199954688549,0,2,Leicester,0,482603,0,Timothy Castagne,2021,1,20,Sub,16423,0,Brighton,0.02862199954688549,0
2021-09-11,0,0,0,0.12385900318622589,0,0,Manchester City,0,480374,0,Timothy Castagne,2021,1,90,DR,16409,0,Leicester,0.12385900318622589,0
2021-08-28,0,0,0,0.031780898571014404,0,1,Leicester,0,478883,0,Timothy Castagne,2021,2,80,Sub,16398,0,Norwich,0.031780898571014404,0
