date,wins,x_g,deep,ppda_allowed,x_g_a,missed,ppda,h_a,team,pts,xpts,result,npx_g_d,deep_allowed,npx_g_a,scored,loses,draws,season,npx_g
2021-08-13 19:00:00,1,1.88818,7,"{att:127,def:22}",1.02385,0,"{att:290,def:18}",h,Brentford,3,2.11540000000000016910917111090384423732757568359375,w,0.86433,10,1.02385,2,0,0,2021-22,1.88818
2021-08-21 14:00:00,0,0.712439,6,"{att:184,def:20}",0.606313,0,"{att:237,def:29}",a,Brentford,1,1.395399999999999973709918776876293122768402099609375,d,0.10612600000000005,5,0.606313,0,0,1,2021-22,0.712439
2021-08-28 14:00:00,0,1.13312,8,"{att:264,def:20}",0.431464,1,"{att:199,def:24}",a,Brentford,1,2.00720000000000009521272659185342490673065185546875,d,0.7016559999999998,2,0.431464,1,0,1,2021-22,1.13312
2021-09-11 14:00:00,0,0.729786,3,"{att:172,def:26}",0.287902,1,"{att:243,def:24}",h,Brentford,0,1.765400000000000080291329140891321003437042236328125,l,0.44188400000000005,6,0.287902,0,1,0,2021-22,0.729786
2021-09-18 11:30:00,1,2.32741,3,"{att:176,def:14}",1.02316,0,"{att:248,def:23}",a,Brentford,3,2.41190000000000015489831639570184051990509033203125,w,0.54311,4,1.02316,2,0,0,2021-22,1.56627
2021-09-25 16:30:00,0,2.94058,4,"{att:114,def:17}",2.25736,3,"{att:237,def:10}",h,Brentford,1,1.86470000000000002415845301584340631961822509765625,d,0.6832200000000004,12,2.25736,3,0,1,2021-22,2.94058
2021-10-03 13:00:00,1,1.30098,1,"{att:132,def:22}",1.37258,1,"{att:188,def:14}",a,Brentford,3,1.324199999999999821653773324214853346347808837890625,w,-0.07159999999999989,8,1.37258,2,0,0,2021-22,1.30098
2021-10-16 16:30:00,0,1.62169,16,"{att:208,def:15}",0.248256,1,"{att:271,def:19}",h,Brentford,0,2.501300000000000078870243669371120631694793701171875,l,1.373434,8,0.248256,0,1,0,2021-22,1.62169
2021-10-24 13:00:00,0,1.16789,7,"{att:256,def:12}",1.00254,2,"{att:216,def:37}",h,Brentford,0,1.4951999999999998625099806304206140339374542236328125,l,0.1653500000000001,5,1.00254,1,1,0,2021-22,1.16789
2021-10-30 14:00:00,0,0.834312,2,"{att:309,def:19}",2.72901,3,"{att:175,def:19}",a,Brentford,0,0.271699999999999997069011214989586733281612396240234375,l,-1.894698,2,2.72901,1,1,0,2021-22,0.834312
2021-11-06 15:00:00,0,2.79229,11,"{att:265,def:18}",1.15797,2,"{att:156,def:23}",h,Brentford,0,2.5030000000000001136868377216160297393798828125,l,2.395453,4,0.396837,1,1,0,2021-22,2.79229
2021-11-20 15:00:00,0,1.23275,6,"{att:154,def:20}",2.18388,3,"{att:153,def:20}",a,Brentford,1,0.725800000000000000710542735760100185871124267578125,d,-0.9511299999999998,8,2.18388,3,0,1,2021-22,1.23275
2021-11-28 14:00:00,1,1.19813,3,"{att:202,def:29}",0.968075,0,"{att:251,def:19}",h,Brentford,3,1.5934999999999999165112285481882281601428985595703125,w,-0.531118,9,0.968075,1,0,0,2021-22,0.436957
2021-12-02 19:30:00,0,0.225492,7,"{att:315,def:18}",2.07248,2,"{att:253,def:16}",a,Brentford,0,0.1307999999999999996003197111349436454474925994873046875,l,-1.846988,6,2.07248,0,1,0,2021-22,0.225492
2021-12-05 14:00:00,0,1.19959,5,"{att:134,def:28}",1.41896,2,"{att:255,def:23}",a,Brentford,1,1.159100000000000019184653865522705018520355224609375,d,-0.21937000000000006,7,1.41896,2,0,1,2021-22,1.19959
2021-12-10 20:00:00,1,1.82799,6,"{att:235,def:23}",0.561554,1,"{att:119,def:29}",h,Brentford,3,2.426299999999999901234559729346074163913726806640625,w,0.5052660000000001,2,0.561554,2,0,0,2021-22,1.06682
2021-12-26 20:00:00,0,1.10342,7,"{att:258,def:25}",0.943363,2,"{att:240,def:19}",a,Brentford,0,1.4949999999999998845368054389837197959423065185546875,l,0.16005700000000012,7,0.943363,0,1,0,2021-22,1.10342
2021-12-29 20:15:00,0,0.238829,3,"{att:112,def:22}",1.01763,1,"{att:288,def:22}",h,Brentford,0,0.495999999999999996447286321199499070644378662109375,l,-0.7788010000000001,6,1.01763,0,1,0,2021-22,0.238829
2022-01-02 14:00:00,1,0.501329,4,"{att:220,def:17}",1.13821,1,"{att:243,def:30}",h,Brentford,3,0.7685999999999999499067371289129368960857391357421875,w,-0.6368809999999999,6,1.13821,2,0,0,2021-22,0.501329
2022-01-11 21:45:00,0,0.621466,3,"{att:223,def:26}",1.59306,4,"{att:176,def:18}",a,Brentford,0,0.56700000000000005950795411990839056670665740966796875,l,-0.971594,1,1.59306,1,1,0,2021-22,0.621466
2022-01-16 14:00:00,0,0.376656,5,"{att:150,def:17}",3.49099,3,"{att:303,def:20}",a,Brentford,0,0.060999999999999998667732370449812151491641998291015625,l,-3.114334,11,3.49099,0,1,0,2021-22,0.376656
2022-01-19 20:00:00,0,2.081,8,"{att:193,def:16}",2.05969,3,"{att:263,def:25}",h,Brentford,0,1.377400000000000179767312147305347025394439697265625,l,0.021310000000000162,6,2.05969,1,1,0,2021-22,2.081
2022-01-22 15:00:00,0,0.742573,6,"{att:239,def:15}",0.218211,2,"{att:232,def:23}",h,Brentford,0,1.8158999999999998475885831794585101306438446044921875,l,0.524362,2,0.218211,1,1,0,2021-22,0.742573
2022-02-09 19:45:00,0,0.461305,3,"{att:104,def:20}",1.98246,2,"{att:280,def:17}",a,Brentford,0,0.2941000000000000280664380625239573419094085693359375,l,-0.7599849999999999,11,1.22129,0,1,0,2021-22,0.461305
2022-02-12 15:00:00,0,1.97576,7,"{att:171,def:30}",0.49802,0,"{att:227,def:25}",h,Brentford,1,2.56139999999999989910293152206577360630035400390625,d,1.4777399999999998,5,0.49802,0,0,1,2021-22,1.97576
2022-02-19 15:00:00,0,0.640726,4,"{att:168,def:23}",1.52247,2,"{att:241,def:10}",a,Brentford,0,0.6603999999999998760102926098625175654888153076171875,l,-0.881744,3,1.52247,1,1,0,2021-22,0.640726
2022-02-26 15:00:00,0,0.494232,5,"{att:107,def:19}",2.25373,2,"{att:244,def:21}",h,Brentford,0,0.30330000000000001403321903126197867095470428466796875,l,-1.759498,8,2.25373,0,1,0,2021-22,0.494232
2022-03-05 15:00:00,1,2.22064,5,"{att:141,def:19}",0.77334,1,"{att:237,def:25}",a,Brentford,3,2.497900000000000009237055564881302416324615478515625,w,-0.07503700000000002,5,0.77334,3,0,0,2021-22,0.698303
2022-03-12 15:00:00,1,1.82002,4,"{att:253,def:15}",0.825311,0,"{att:159,def:13}",h,Brentford,3,2.202599999999999891286961428704671561717987060546875,w,0.23353900000000005,7,0.825311,2,0,0,2021-22,1.05885
2022-03-20 14:00:00,0,1.72466,12,"{att:254,def:23}",1.27865,2,"{att:304,def:20}",a,Brentford,0,1.73439999999999994173549566767178475856781005859375,l,0.44601,6,1.27865,1,1,0,2021-22,1.72466
2022-04-02 14:00:00,1,2.43422,7,"{att:128,def:17}",1.29014,1,"{att:303,def:15}",a,Brentford,3,2.140700000000000269295696853077970445156097412109375,w,1.1440799999999998,10,1.29014,4,0,0,2021-22,2.43422
2022-04-10 13:00:00,1,1.85534,14,"{att:287,def:14}",0.244824,0,"{att:357,def:11}",h,Brentford,3,2.648300000000000320454773827805183827877044677734375,w,1.610516,3,0.244824,2,0,0,2021-22,1.85534
2022-04-16 14:00:00,1,2.12457,4,"{att:196,def:27}",1.50381,1,"{att:184,def:19}",a,Brentford,3,1.868700000000000027711166694643907248973846435546875,w,0.6207599999999998,6,1.50381,2,0,0,2021-22,2.12457
2022-04-23 16:30:00,0,1.3153,5,"{att:201,def:14}",0.517755,0,"{att:238,def:16}",h,Brentford,1,2.0373999999999998777866494492627680301666259765625,d,0.797545,6,0.517755,0,0,1,2021-22,1.3153
2022-05-02 19:00:00,0,0.681425,9,"{att:203,def:13}",1.84111,3,"{att:434,def:11}",a,Brentford,0,0.439200000000000034816594052244909107685089111328125,l,-0.39851499999999995,5,1.07994,0,1,0,2021-22,0.681425
2022-05-07 14:00:00,1,3.68223,11,"{att:149,def:16}",0.988574,0,"{att:203,def:24}",h,Brentford,3,2.789199999999999679545226172194816172122955322265625,w,2.6936560000000003,5,0.988574,3,0,0,2021-22,3.68223
2022-05-15 15:30:00,1,1.81626,7,"{att:303,def:11}",2.69589,2,"{att:82,def:14}",a,Brentford,3,0.7674000000000000820676859802915714681148529052734375,w,-0.11846000000000001,5,1.93472,3,0,0,2021-22,1.81626
2022-05-22 15:00:00,0,0.844985,4,"{att:262,def:20}",1.47786,2,"{att:206,def:21}",h,Brentford,0,0.7797000000000000596855898038484156131744384765625,l,0.12829899999999994,4,0.716686,1,1,0,2021-22,0.844985
