date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-15,0,0,0,0,0,1,Norwich,0,536046,0,Billy Gilmour,2021,1,63,MC,16736,0,Wolverhampton Wanderers,0,0
2022-05-11,0.09871599823236465,1,0,0.08278360217809677,0.0294553991407156,3,Norwich,0.09871599823236465,534848,0,Billy Gilmour,2021,0,90,MC,16582,3,Leicester,0,0
2022-05-08,0.1306930035352707,0,0,0.07076779752969742,0,0,West Ham,0.1306930035352707,533369,0,Billy Gilmour,2021,4,90,DMC,16726,2,Norwich,0.07076779752969742,0
2022-04-30,0,0,0,0.07228550314903259,0,2,Norwich,0,530573,0,Billy Gilmour,2021,0,90,DMC,16725,0,Aston Villa,0.07228550314903259,0
2022-04-16,0,1,0,0.030132200568914413,0.030132200568914413,3,Norwich,0,526395,0,Billy Gilmour,2021,2,13,Sub,16702,0,Manchester United,0,0
2022-04-02,0.03939799964427948,0,0,0.36981201171875,0,0,Norwich,0.03939799964427948,522741,0,Billy Gilmour,2021,0,90,MC,16685,1,Brighton,0.3304139971733093,0
2022-03-13,0,0,0,0.48895999789237976,0,2,Norwich,0,520064,0,Billy Gilmour,2021,1,1,Sub,16662,0,Leeds,0.48895999789237976,0
2022-03-05,0.1409740000963211,2,0,0.3733980059623718,0.13345299661159515,1,Brentford,0.1409740000963211,517583,0,Billy Gilmour,2021,3,76,MC,16652,2,Norwich,0.2324250042438507,0
2022-02-25,0.02560410089790821,1,0,0.0977184996008873,0.01637990027666092,2,Norwich,0.02560410089790821,515593,0,Billy Gilmour,2021,0,82,MC,16644,1,Southampton,0.07211430370807648,0
2022-02-19,0.130048006772995,0,0,0.130048006772995,0,3,Norwich,0.130048006772995,514253,0,Billy Gilmour,2021,1,90,MC,16631,1,Liverpool,0,0
2022-02-12,0,3,0,0.1033250018954277,0.11401200294494629,0,Manchester City,0,512856,0,Billy Gilmour,2021,4,90,MC,16623,0,Norwich,0.1033250018954277,0
2022-02-09,0,0,0,0,0,1,Crystal Palace,0,512156,0,Billy Gilmour,2021,1,24,Sub,16609,0,Norwich,0,0
2021-12-28,0.009688709862530231,0,0,0.2105879932641983,0,3,Norwich,0.009688709862530231,505277,0,Billy Gilmour,2021,0,90,DMC,16570,1,Crystal Palace,0.20089900493621826,0
2021-12-26,0.0157965999096632,2,0,0.08698389679193497,0.11194700002670288,0,Arsenal,0.0157965999096632,505072,0,Billy Gilmour,2021,5,90,MC,16562,1,Norwich,0.07118730247020721,0
2021-12-14,0,3,0,0.02394229918718338,0.06798519939184189,0,Aston Villa,0,503041,0,Billy Gilmour,2021,2,90,MC,16541,0,Norwich,0.02394229918718338,0
2021-12-11,0.10636000335216522,1,0,0.27876800298690796,0.011482800357043743,0,Manchester United,0.10636000335216522,501857,0,Billy Gilmour,2021,1,90,MC,16535,2,Norwich,0.17240799963474274,0
2021-12-05,0.02645139954984188,1,0,0.02645139954984188,0.010583899915218353,3,Norwich,0.02645139954984188,500556,0,Billy Gilmour,2021,0,84,MC,16522,2,Tottenham,0.013772199861705303,0
2021-11-30,0.0644759014248848,2,0,0.5110999941825867,0.07141199707984924,1,Norwich,0.0644759014248848,498662,0,Billy Gilmour,2021,1,90,MC,16513,1,Newcastle United,0.4867840111255646,0
2021-11-27,0,2,0,0.6577280163764954,0.07706130295991898,0,Wolverhampton Wanderers,0,497381,0,Billy Gilmour,2021,0,90,MC,16505,0,Norwich,0.604515016078949,0
2021-11-20,0,3,0,0.18607500195503235,0.16624900698661804,2,Southampton,0,495791,1,Billy Gilmour,2021,1,87,MC,16492,0,Norwich,0.06946759670972824,0
2021-09-18,0,3,0,0.11742199957370758,0.21010400354862213,1,Watford,0,482149,0,Billy Gilmour,2021,3,90,MC,16418,0,Norwich,0.0778983011841774,0
2021-08-28,0.05175510048866272,0,0,0.1586180031299591,0,1,Leicester,0.05175510048866272,478865,0,Billy Gilmour,2021,2,84,MC,16398,1,Norwich,0.10686299949884415,0
2021-08-21,0,0,0,0,0,5,Norwich,0,476923,0,Billy Gilmour,2021,0,90,MC,16387,0,Manchester City,0,0
2021-08-14,0,0,0,0.3548949956893921,0,0,Liverpool,0,475682,0,Billy Gilmour,2021,3,90,MC,16383,0,Norwich,0.3548949956893921,0
