date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-11,0,0,0,0,0,0,Chelsea,0,534750,0,Daniel James,2021,3,23,AMC,16703,0,Leeds,0,0
2022-05-08,0,0,0,0,0,2,Leeds,0,533474,0,Daniel James,2021,1,90,AMC,16735,0,Arsenal,0,0
2022-04-30,0.519366979598999,1,0,0.6209400296211243,0.10157299786806107,0,Manchester City,0.519366979598999,530720,0,Daniel James,2021,4,39,Sub,16723,1,Leeds,0,0
2022-04-25,0,1,0,0.12423600256443024,0.04997929930686951,0,Leeds,0,529889,0,Daniel James,2021,0,59,FW,16710,0,Crystal Palace,0.12423600256443024,0
2022-04-09,0,1,0,0.04225790128111839,0.04225790128111839,0,Leeds,0,524655,1,Daniel James,2021,3,69,FW,16686,0,Watford,0,0
2022-04-02,0.1690959930419922,0,0,0.19183500111103058,0,1,Southampton,0.1690959930419922,522813,0,Daniel James,2021,1,60,FW,16681,2,Leeds,0.022738099098205566,0
2022-03-18,0.9537090063095093,3,0,1.6862499713897705,0.7325389981269836,2,Leeds,0.9537090063095093,520950,0,Daniel James,2021,3,90,AMR,16675,4,Wolverhampton Wanderers,0,0
2022-03-13,0.038741499185562134,1,0,0.23575399816036224,0.08522690087556839,2,Norwich,0.038741499185562134,520044,1,Daniel James,2021,1,90,AMR,16662,1,Leeds,0.11178500205278397,0
2022-03-10,0,0,0,0.08347339928150177,0,0,Aston Villa,0,518949,0,Daniel James,2021,3,90,FW,16572,0,Leeds,0.08347339928150177,0
2022-03-05,0.11058100312948227,2,0,0.353285014629364,0.24270300567150116,1,Leeds,0.11058100312948227,517275,0,Daniel James,2021,0,90,FW,16648,2,Leicester,0,0
2022-02-26,0.09666469693183899,1,0,0.17466700077056885,0.05584539845585823,0,Tottenham,0.09666469693183899,515728,0,Daniel James,2021,4,90,FW,16642,1,Leeds,0.022156400606036186,0
2022-02-23,0,0,0,0,0,6,Leeds,0,515365,0,Daniel James,2021,0,63,FW,16559,0,Liverpool,0,0
2022-02-20,0,2,0,1.2364399433135986,0.8622459769248962,2,Manchester United,0,514686,1,Daniel James,2021,4,90,AMR,16630,0,Leeds,0.37419500946998596,0
2022-02-12,0.02516850084066391,0,0,0.02516850084066391,0,3,Leeds,0.02516850084066391,512724,0,Daniel James,2021,0,90,FW,16619,1,Everton,0,0
2022-02-09,1.1261199712753296,0,2,1.1261199712753296,0,3,Leeds,1.1261199712753296,512250,0,Daniel James,2021,3,90,FW,16606,4,Aston Villa,0,2
2022-01-22,0.7442020177841187,0,0,0.7442020177841187,0,0,Newcastle United,0.7442020177841187,509710,0,Daniel James,2021,1,76,FW,16601,2,Leeds,0,0
2022-01-16,0.49127501249313354,0,0,0.4521059989929199,0,2,Leeds,0.49127501249313354,508463,0,Daniel James,2021,3,90,FW,16594,5,West Ham,0,0
2022-01-02,0.4645479917526245,2,1,0.8165609836578369,0.3520129919052124,3,Burnley,0.4645479917526245,505632,0,Daniel James,2021,1,26,Sub,16581,1,Leeds,0,1
2021-12-14,0,0,0,0,0,7,Leeds,0,503087,0,Daniel James,2021,0,49,FW,16545,0,Manchester City,0,0
