date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-22,0,0,0,0,0,1,Manchester United,0,537811,0,James McArthur,2021,0,6,Sub,16751,0,Crystal Palace,0,0
2022-04-30,0.029785899445414543,2,0,0.31431901454925537,0.07498569786548615,1,Crystal Palace,0.029785899445414543,530546,1,James McArthur,2021,2,90,MC,16720,1,Southampton,0.31431901454925537,0
2022-04-25,0,0,0,0.13833299279212952,0,0,Leeds,0,529872,0,James McArthur,2021,0,90,MC,16710,0,Crystal Palace,0.13833299279212952,0
2022-04-20,0.044101398438215256,3,0,0.0691635012626648,0.09721329808235168,1,Crystal Palace,0.044101398438215256,527912,0,James McArthur,2021,0,28,Sub,16671,1,Newcastle United,0.03307320177555084,0
2022-04-10,0,0,0,0,0,2,Crystal Palace,0,525207,0,James McArthur,2021,1,30,Sub,16691,0,Leicester,0,0
2022-04-04,0,0,0,0,0,3,Arsenal,0,523955,0,James McArthur,2021,0,20,Sub,16682,0,Crystal Palace,0,0
2022-02-26,0,1,0,0.22389699518680573,0.059239499270915985,1,Burnley,0,516027,0,James McArthur,2021,1,90,MC,16640,0,Crystal Palace,0.22389699518680573,0
2022-02-23,0,1,0,0.12459699809551239,0.12459699809551239,1,Crystal Palace,0,515395,1,James McArthur,2021,4,7,Sub,16553,0,Watford,0,0
2022-02-19,0,0,0,0.4112809896469116,0,0,Chelsea,0,514210,0,James McArthur,2021,1,90,DMC,16629,0,Crystal Palace,0.4112809896469116,0
2022-02-12,0.015335699543356895,0,0,0,0,0,Crystal Palace,0.015335699543356895,512671,0,James McArthur,2021,0,23,Sub,16616,1,Brentford,0,0
2021-11-06,0,1,0,0.4924840033054352,0.3229610025882721,2,Wolverhampton Wanderers,0,494028,1,James McArthur,2021,0,83,MC,16480,0,Crystal Palace,0.16952300071716309,0
2021-10-30,0.027917999774217606,1,0,0.14711399376392365,0.043114300817251205,0,Crystal Palace,0.027917999774217606,492259,0,James McArthur,2021,2,90,MC,16470,1,Manchester City,0.07608140259981155,0
2021-10-23,0.0822087973356247,1,0,1.0379999876022339,0.32047298550605774,1,Newcastle United,0.0822087973356247,489943,0,James McArthur,2021,1,90,DMC,16460,1,Crystal Palace,0.6353189945220947,0
2021-10-18,0,1,0,0.19243000447750092,0.054112598299980164,2,Crystal Palace,0,489379,0,James McArthur,2021,2,90,DMC,16446,0,Arsenal,0.19243000447750092,0
2021-10-03,0,1,0,0.388359010219574,0.04629980027675629,2,Leicester,0,486998,0,James McArthur,2021,2,90,MC,16439,0,Crystal Palace,0.3420589864253998,0
2021-09-27,0,1,0,0.12312400341033936,0.02920440025627613,1,Brighton,0,485984,0,James McArthur,2021,1,90,MC,16435,0,Crystal Palace,0.09391950070858002,0
2021-09-18,0.020279599353671074,1,0,0,0.0319983996450901,3,Crystal Palace,0.020279599353671074,482107,0,James McArthur,2021,0,66,MC,16420,1,Liverpool,0,0
2021-09-11,0.0307948999106884,0,0,0.19397799670696259,0,3,Tottenham,0.0307948999106884,480027,0,James McArthur,2021,0,90,MC,16406,1,Crystal Palace,0.19397799670696259,0
2021-08-28,0.01282699964940548,0,0,0.5852349996566772,0,2,Crystal Palace,0.01282699964940548,478906,0,James McArthur,2021,2,90,MC,16401,1,West Ham,0.5852349996566772,0
2021-08-21,0.04397450014948845,0,0,0.37374499440193176,0,0,Brentford,0.04397450014948845,476965,0,James McArthur,2021,0,90,MC,16389,1,Crystal Palace,0.3297699987888336,0
2021-08-14,0,2,0,0.03642880171537399,0.06599400192499161,3,Crystal Palace,0,475492,0,James McArthur,2021,0,90,MC,16379,0,Chelsea,0,0
