date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-17,0.03578310087323189,4,0,0.5491729974746704,0.2779340147972107,1,Liverpool,0.03578310087323189,536764,0,Konstantinos Tsimikas,2021,2,90,DL,16740,1,Southampton,0.42437100410461426,0
2022-05-10,0,3,0,0.07211440056562424,0.08732900023460388,1,Liverpool,0,534606,0,Konstantinos Tsimikas,2021,2,90,DL,16705,0,Aston Villa,0.02622400037944317,0
2022-05-07,0,1,0,0.11556799709796906,0.03157079964876175,1,Tottenham,0,533102,0,Konstantinos Tsimikas,2021,1,25,Sub,16728,0,Liverpool,0.08399739861488342,0
2022-02-19,0.42979899048805237,2,0,1.644260048866272,0.5534740090370178,3,Norwich,0.42979899048805237,514236,1,Konstantinos Tsimikas,2021,1,90,DL,16631,3,Liverpool,1.1443300247192383,0
2022-01-02,0.02388549968600273,1,0,0.11613000184297562,0.050313498824834824,2,Liverpool,0.02388549968600273,505722,0,Konstantinos Tsimikas,2021,2,90,DL,16578,1,Chelsea,0.11613000184297562,0
2021-12-28,0,3,0,0.3719269931316376,0.18253900110721588,1,Liverpool,0,505331,0,Konstantinos Tsimikas,2021,0,90,DL,16573,0,Leicester,0.3719269931316376,0
2021-12-19,0,0,0,0,0,2,Liverpool,0,504167,0,Konstantinos Tsimikas,2021,2,5,Sub,16552,0,Tottenham,0,0
2021-11-20,0,2,0,1.9327800273895264,0.24043799936771393,4,Arsenal,0,495932,0,Konstantinos Tsimikas,2021,0,90,DL,16489,0,Liverpool,1.9327800273895264,0
2021-10-16,0,0,0,0.14445999264717102,0,0,Liverpool,0,487857,0,Konstantinos Tsimikas,2021,5,25,Sub,16455,0,Watford,0.14445999264717102,0
2021-09-18,0.02163740061223507,4,0,0.37991100549697876,0.20889100432395935,3,Crystal Palace,0.02163740061223507,482090,0,Konstantinos Tsimikas,2021,0,90,DL,16420,1,Liverpool,0.3120949864387512,0
2021-08-28,0,1,0,0.09927579760551453,0.09927579760551453,1,Chelsea,0,479066,0,Konstantinos Tsimikas,2021,1,1,Sub,16402,0,Liverpool,0.09927579760551453,0
2021-08-21,0,4,0,0.8559849858283997,0.39924100041389465,2,Burnley,0,476667,1,Konstantinos Tsimikas,2021,0,90,DL,16386,0,Liverpool,0.8559849858283997,0
2021-08-14,0.15946899354457855,0,0,0.2230760008096695,0,0,Liverpool,0.15946899354457855,475692,0,Konstantinos Tsimikas,2021,3,90,DL,16383,2,Norwich,0.06360690295696259,0
