date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-22,0.47370898723602295,1,1,0.6129869818687439,0.13927799463272095,3,Wolverhampton Wanderers,0.47370898723602295,537908,0,Pedro Neto,2021,1,21,FW,16753,1,Liverpool,0.13927799463272095,1
2022-05-15,0.5613449811935425,1,0,0.5186160206794739,0.015340800397098064,1,Norwich,0.5613449811935425,536034,0,Pedro Neto,2021,1,76,AMC,16736,5,Wolverhampton Wanderers,0.016832999885082245,0
2022-05-11,0.0610153004527092,3,0,0.26838400959968567,0.23531599342823029,1,Manchester City,0.0610153004527092,534895,1,Pedro Neto,2021,5,74,FW,16696,1,Wolverhampton Wanderers,0.07129830121994019,0
2022-05-07,0.0972839966416359,2,0,0.1602409929037094,0.40717199444770813,2,Wolverhampton Wanderers,0.0972839966416359,534279,0,Pedro Neto,2021,2,73,FW,16731,1,Chelsea,0.06295730173587799,0
2022-04-30,0.18253900110721588,1,0,0.15922099351882935,0.037289999425411224,0,Brighton,0.18253900110721588,530484,0,Pedro Neto,2021,3,41,Sub,16716,3,Wolverhampton Wanderers,0.0660208985209465,0
2022-04-24,0.059112198650836945,0,0,0.09177990257740021,0,1,Wolverhampton Wanderers,0.059112198650836945,529319,0,Pedro Neto,2021,0,22,Sub,16712,1,Burnley,0.032667700201272964,0
2022-04-08,0,0,0,0.1417279988527298,0,1,Wolverhampton Wanderers,0,524211,0,Pedro Neto,2021,0,9,Sub,16689,0,Newcastle United,0.1417279988527298,0
2022-04-02,0,0,0,0,0,2,Aston Villa,0,522842,0,Pedro Neto,2021,1,10,Sub,16676,0,Wolverhampton Wanderers,0,0
2022-03-10,0.052026499062776566,1,0,0.7553769946098328,0.5682010054588318,4,Watford,0.052026499062776566,518894,0,Pedro Neto,2021,0,28,Sub,16565,2,Wolverhampton Wanderers,0.18717600405216217,0
2022-03-05,0,3,0,0.013488099910318851,0.07398410141468048,0,Crystal Palace,0,517612,0,Pedro Neto,2021,2,67,AMC,16655,0,Wolverhampton Wanderers,0.013488099910318851,0
2022-02-27,0.041957300156354904,1,0,0.10201200097799301,0.018666399642825127,1,Wolverhampton Wanderers,0.041957300156354904,516512,0,Pedro Neto,2021,0,10,Sub,16645,1,West Ham,0.04138819873332977,0
2022-02-24,0.08431970328092575,0,0,0.08431970328092575,0,2,Wolverhampton Wanderers,0.08431970328092575,515422,0,Pedro Neto,2021,1,13,Sub,16566,1,Arsenal,0,0
2022-02-20,0.023388000205159187,0,0,0.023388000205159187,0,2,Leicester,0.023388000205159187,514967,0,Pedro Neto,2021,1,7,Sub,16635,1,Wolverhampton Wanderers,0,0
