date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-05-10,0.09796009957790375,1,0,0.02622400037944317,0.02622400037944317,1,Liverpool,0.09796009957790375,534605,0,Virgil van Dijk,2021,2,90,DC,16705,1,Aston Villa,0,0
2022-05-07,0.18565699458122253,1,0,0.03157079964876175,0.11784200370311737,1,Tottenham,0.18565699458122253,533094,0,Virgil van Dijk,2021,1,90,DC,16728,3,Liverpool,0.03157079964876175,0
2022-04-30,0.07644969969987869,0,0,0.16575400531291962,0,0,Liverpool,0.07644969969987869,530124,0,Virgil van Dijk,2021,1,90,DC,16721,2,Newcastle United,0.16575400531291962,0
2022-04-24,0.016095099970698357,0,0,0.4962190091609955,0,2,Everton,0.016095099970698357,529597,0,Virgil van Dijk,2021,0,90,DC,16708,1,Liverpool,0.48012399673461914,0
2022-04-19,0,0,0,0.8167150020599365,0,4,Manchester United,0,527528,0,Virgil van Dijk,2021,0,90,DC,16669,0,Liverpool,0.8167150020599365,0
2022-04-10,0,0,0,0.43174800276756287,0,2,Liverpool,0,525526,0,Virgil van Dijk,2021,2,90,DC,16690,0,Manchester City,0.43174800276756287,0
2022-04-02,0.0316275991499424,0,0,0.19009099900722504,0,2,Watford,0.0316275991499424,522452,0,Virgil van Dijk,2021,0,90,DC,16680,1,Liverpool,0.19009099900722504,0
2022-03-16,0.026173099875450134,0,0,0.04671259969472885,0,0,Liverpool,0.026173099875450134,520768,0,Virgil van Dijk,2021,2,90,DC,16636,1,Arsenal,0.04671259969472885,0
2022-03-12,0,0,0,0.43838199973106384,0,0,Liverpool,0,519102,0,Virgil van Dijk,2021,2,90,DC,16658,0,Brighton,0.43838199973106384,0
2022-03-05,0.09080959856510162,0,0,0.39479899406433105,0,1,West Ham,0.09080959856510162,517758,0,Virgil van Dijk,2021,0,90,DC,16649,1,Liverpool,0.39479899406433105,0
2022-02-23,0.32710400223731995,0,1,0.29048800468444824,0,6,Leeds,0.32710400223731995,515344,0,Virgil van Dijk,2021,0,90,DC,16559,1,Liverpool,0.29048800468444824,1
2022-02-19,0.02566239982843399,1,0,1.160979986190796,0.5612919926643372,3,Norwich,0.02566239982843399,514235,0,Virgil van Dijk,2021,1,90,DC,16631,1,Liverpool,1.1353199481964111,0
2022-02-13,0,0,0,0.016573600471019745,0,0,Liverpool,0,513141,0,Virgil van Dijk,2021,1,90,DC,16617,0,Burnley,0.016573600471019745,0
2022-02-10,0.04476900026202202,0,0,0.15010400116443634,0,2,Leicester,0.04476900026202202,512283,0,Virgil van Dijk,2021,0,90,DC,16614,2,Liverpool,0.15010400116443634,0
2022-01-23,0.08921419829130173,0,1,0.17581799626350403,0,1,Liverpool,0.08921419829130173,510191,0,Virgil van Dijk,2021,3,90,DC,16599,1,Crystal Palace,0.17581799626350403,1
2022-01-16,0.15886099636554718,0,0,0.06701929867267609,0,3,Brentford,0.15886099636554718,508470,0,Virgil van Dijk,2021,0,90,DC,16589,2,Liverpool,0.06701929867267609,0
2022-01-02,0,0,0,0.11613000184297562,0,2,Liverpool,0,505721,0,Virgil van Dijk,2021,2,90,DC,16578,0,Chelsea,0.11613000184297562,0
2021-12-28,0.021964799612760544,0,0,0.18354900181293488,0,1,Liverpool,0.021964799612760544,505330,0,Virgil van Dijk,2021,0,90,DC,16573,1,Leicester,0.18354900181293488,0
2021-12-11,0.2860879898071289,0,0,0.021534599363803864,0,1,Aston Villa,0.2860879898071289,501643,0,Virgil van Dijk,2021,0,90,DC,16533,1,Liverpool,0.021534599363803864,0
2021-12-04,0,0,0,0.7954440116882324,0,0,Liverpool,0,499931,0,Virgil van Dijk,2021,1,90,DC,16525,0,Wolverhampton Wanderers,0.7954440116882324,0
2021-12-01,0.05052490159869194,0,0,0.07344129681587219,0,1,Liverpool,0.05052490159869194,499363,0,Virgil van Dijk,2021,4,90,DC,16507,1,Everton,0.07344129681587219,0
2021-11-27,0.059443701058626175,1,1,0.7595070004463196,0.025281399488449097,4,Southampton,0.059443701058626175,497404,0,Virgil van Dijk,2021,0,90,DC,16503,1,Liverpool,0.7595070004463196,1
2021-11-20,0.12324900180101395,0,0,2.2345399856567383,0,4,Arsenal,0.12324900180101395,495931,0,Virgil van Dijk,2021,0,90,DC,16489,2,Liverpool,2.2345399856567383,0
2021-11-07,0.02144859917461872,0,0,0.16760599613189697,0,3,Liverpool,0.02144859917461872,494956,0,Virgil van Dijk,2021,2,90,DC,16485,1,West Ham,0.16760599613189697,0
2021-10-30,0,0,0,0.6616140007972717,0,2,Brighton,0,492269,0,Virgil van Dijk,2021,2,90,DC,16469,0,Liverpool,0.6616140007972717,0
2021-10-24,0,0,0,1.3130500316619873,0,0,Liverpool,0,490854,0,Virgil van Dijk,2021,5,90,DC,16463,0,Manchester United,1.3130500316619873,0
2021-10-16,0,1,0,0.8401119709014893,0.04408060014247894,0,Liverpool,0,487849,0,Virgil van Dijk,2021,5,90,DC,16455,0,Watford,0.8401119709014893,0
2021-10-03,0,0,0,0.40651899576187134,0,2,Manchester City,0,487410,0,Virgil van Dijk,2021,2,90,DC,16441,0,Liverpool,0.40651899576187134,0
2021-09-25,0.025750400498509407,0,0,0.6954150199890137,0,3,Liverpool,0.025750400498509407,484985,0,Virgil van Dijk,2021,3,90,DC,16432,1,Brentford,0.6954150199890137,0
2021-09-18,0.02731030061841011,1,0,0.35827401280403137,0.4817950129508972,3,Crystal Palace,0.02731030061841011,482089,1,Virgil van Dijk,2021,0,90,DC,16420,1,Liverpool,0.35827401280403137,0
2021-09-12,0.10418199747800827,1,0,1.6009000539779663,0.10894300043582916,0,Liverpool,0.10418199747800827,481191,0,Virgil van Dijk,2021,3,90,DC,16414,2,Leeds,1.6009000539779663,0
2021-08-28,0.053141999989748,0,0,0.18362900614738464,0,1,Chelsea,0.053141999989748,479058,0,Virgil van Dijk,2021,1,90,DC,16402,3,Liverpool,0.17167900502681732,0
2021-08-21,0.17865100502967834,1,0,0.36232200264930725,0.1345060020685196,2,Burnley,0.17865100502967834,476666,0,Virgil van Dijk,2021,0,90,DC,16386,3,Liverpool,0.36232200264930725,0
2021-08-14,0.047449398785829544,1,0,0.5947870016098022,0.05736919865012169,0,Liverpool,0.047449398785829544,475691,0,Virgil van Dijk,2021,3,90,DC,16383,1,Norwich,0.5947870016098022,0
