date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.0,0,0,0.49656620621681213,2,Fulham,601071,0,Anthony Martial,2022,1,21,Sub,18580,0.0,0.49656620621681213,0,Manchester United,0.0,0
2023-05-25,0.6171411275863647,1,1,0.7663128972053528,4,Chelsea,599719,0,Anthony Martial,2022,1,77,FW,18520,0.02509337291121483,0.1240784302353859,1,Manchester United,0.6171411275863647,1
2023-05-20,0.15163089334964752,0,0,0.22590519487857819,0,Manchester United,598109,0,Anthony Martial,2022,1,58,FW,18562,0.0,0.19687007367610931,3,Bournemouth,0.15163089334964752,0
2023-05-13,0.6094847321510315,2,1,1.172325611114502,2,Wolverhampton Wanderers,596432,0,Anthony Martial,2022,0,71,FW,18560,0.04021122306585312,0.5226296186447144,3,Manchester United,0.6094847321510315,1
2023-05-07,0.42641252279281616,0,0,0.20465415716171265,1,Manchester United,595593,0,Anthony Martial,2022,0,32,Sub,18550,0.0,0.1096426248550415,2,West Ham,0.42641252279281616,0
2023-05-04,0.1427663117647171,1,0,0.23860876262187958,1,Manchester United,594356,0,Anthony Martial,2022,0,88,FW,18475,0.07151632010936737,0.1425616294145584,2,Brighton,0.1427663117647171,0
2023-04-30,0.0,1,0,0.10287360846996307,1,Aston Villa,592866,0,Anthony Martial,2022,0,2,Sub,18540,0.10287360846996307,0.0,0,Manchester United,0.0,0
2023-04-27,0.0,0,0,0.055167850106954575,2,Manchester United,591918,0,Anthony Martial,2022,2,27,Sub,18525,0.0,0.055167850106954575,0,Tottenham,0.0,0
2023-04-16,0.7140799760818481,1,0,0.9384049773216248,0,Manchester United,589308,0,Anthony Martial,2022,2,74,FW,18507,0.10566999763250351,0.11865600198507309,2,Nottingham Forest,0.7140799760818481,0
2023-04-08,0.48354899883270264,1,1,0.5005689859390259,2,Everton,586388,0,Anthony Martial,2022,0,29,Sub,18498,0.09745419770479202,0.017019599676132202,1,Manchester United,0.48354899883270264,1
2023-04-05,0.0,0,0,0.0,1,Brentford,586135,0,Anthony Martial,2022,0,17,Sub,18448,0.0,0.0,0,Manchester United,0.0,0
2023-04-02,0.05999169871211052,0,0,0.1577180027961731,2,Manchester United,585629,0,Anthony Martial,2022,0,27,Sub,18489,0.0,0.09772589802742004,1,Newcastle United,0.05999169871211052,0
2023-01-14,0.027037499472498894,0,0,0.027037499472498894,2,Manchester City,568663,0,Anthony Martial,2022,1,47,FW,18397,0.0,0.0,1,Manchester United,0.027037499472498894,0
2023-01-03,0.5833340287208557,0,0,0.6121249794960022,3,Bournemouth,567085,0,Anthony Martial,2022,0,71,FW,18390,0.0,0.56256502866745,2,Manchester United,0.5833340287208557,0
2022-12-31,0.6052709817886353,1,0,0.7265949845314026,0,Manchester United,566344,0,Anthony Martial,2022,1,82,FW,18381,0.12132500112056732,0.12132500112056732,2,Wolverhampton Wanderers,0.6052709817886353,0
2022-12-27,0.580498993396759,0,1,0.6246489882469177,3,Nottingham Forest,565693,0,Anthony Martial,2022,0,68,FW,18370,0.0,0.044150300323963165,2,Manchester United,0.580498993396759,1
2022-11-13,0.8897119760513306,1,0,1.0048799514770508,1,Manchester United,565352,0,Anthony Martial,2022,2,73,FW,18354,0.10778799653053284,0.007378470152616501,3,Fulham,0.8897119760513306,0
2022-11-06,0.0,0,0,0.01891300082206726,3,Manchester United,562556,0,Anthony Martial,2022,1,23,Sub,18342,0.0,0.01891300082206726,0,Aston Villa,0.0,0
2022-10-09,0.0,1,0,0.6428830027580261,1,Manchester United,555256,1,Anthony Martial,2022,2,28,FW,18297,0.5782740116119385,0.06460870057344437,0,Everton,0.0,0
2022-10-02,1.4371999502182007,0,1,0.7022190093994141,6,Manchester United,552944,0,Anthony Martial,2022,3,29,Sub,18289,0.0,0.026184799149632454,2,Manchester City,0.6760339736938477,2
2022-08-22,0.0,2,0,0.555899977684021,2,Liverpool,543828,1,Anthony Martial,2022,1,43,Sub,18231,0.5065550208091736,0.049345001578330994,0,Manchester United,0.0,0
