date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.0,0,0,0.0,1,Manchester City,600879,0,David Raya,2022,0,90,GK,18574,0.0,0.0,0,Brentford,0.0,0
2023-05-20,0.0,0,0,0.023194488137960434,1,Brentford,597823,0,David Raya,2022,3,90,GK,18569,0.0,0.023194488137960434,0,Tottenham,0.0,0
2023-05-14,0.0,0,0,0.09176526963710785,2,West Ham,596892,0,David Raya,2022,0,90,GK,18554,0.0,0.09176526963710785,0,Brentford,0.0,0
2023-05-06,0.0,0,0,0.07538604736328125,1,Brentford,594960,0,David Raya,2022,0,90,GK,18545,0.0,0.07538604736328125,0,Liverpool,0.0,0
2023-04-29,0.0,0,0,0.033670224249362946,2,Nottingham Forest,592386,0,David Raya,2022,1,90,GK,18534,0.0,0.033670224249362946,0,Brentford,0.0,0
2023-04-26,0.0,0,0,0.0,0,Brentford,591661,0,David Raya,2022,2,90,GK,18529,0.0,0.0,0,Chelsea,0.0,0
2023-04-22,0.0,0,0,0.0,1,Aston Villa,590170,0,David Raya,2022,1,90,GK,18514,0.0,0.0,0,Brentford,0.0,0
2023-04-15,0.0,0,0,0.0,2,Brentford,588405,0,David Raya,2022,0,90,GK,18511,0.0,0.0,0,Wolverhampton Wanderers,0.0,0
2023-04-08,0.0,0,0,0.062428299337625504,1,Newcastle United,586655,0,David Raya,2022,2,90,GK,18493,0.0,0.062428299337625504,0,Brentford,0.0,0
2023-04-05,0.0,0,0,0.015111099928617477,1,Brentford,586138,0,David Raya,2022,0,90,GK,18448,0.0,0.015111099928617477,0,Manchester United,0.0,0
2023-04-01,0.0,0,0,0.0,3,Brentford,584746,0,David Raya,2022,3,90,GK,18484,0.0,0.0,0,Brighton,0.0,0
2023-03-18,0.0,0,0,0.14156900346279144,1,Leicester,583013,0,David Raya,2022,1,90,GK,18474,0.0,0.14156900346279144,0,Brentford,0.0,0
2023-03-15,0.0,0,0,0.0,0,Brentford,582500,0,David Raya,2022,2,90,GK,18265,0.0,0.0,0,Southampton,0.0,0
2023-03-11,0.10391700267791748,0,0,0.26974400877952576,1,Brentford,581211,0,David Raya,2022,0,90,GK,18464,0.0,0.26974400877952576,1,Everton,0.10391700267791748,0
2023-03-06,0.0,0,0,0.0,3,Fulham,580700,0,David Raya,2022,2,90,GK,18454,0.0,0.0,0,Brentford,0.0,0
