date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.7383272647857666,0,0,0.7576575875282288,1,Bournemouth,600980,0,Demarai Gray,2022,0,90,FW,18577,0.0,0.0343756265938282,4,Everton,0.7383272647857666,0
2023-05-20,0.13791419565677643,2,0,0.12431298941373825,1,Everton,598199,0,Demarai Gray,2022,1,44,Sub,18571,0.06231566518545151,0.0,3,Wolverhampton Wanderers,0.13791419565677643,0
2023-05-14,0.0,0,0,0.0,0,Manchester City,596937,0,Demarai Gray,2022,3,12,Sub,18557,0.0,0.0,0,Everton,0.0,0
2023-04-22,0.0,0,0,0.0,0,Everton,590102,0,Demarai Gray,2022,0,82,AMR,18516,0.0,0.0,0,Crystal Palace,0.0,0
2023-04-15,0.4587379992008209,0,0,0.9089099764823914,1,Fulham,588492,0,Demarai Gray,2022,3,90,FW,18504,0.0,0.4501720070838928,3,Everton,0.4587379992008209,0
2023-04-08,0.08223880082368851,1,0,0.23521000146865845,2,Everton,586400,0,Demarai Gray,2022,0,90,FW,18498,0.13519999384880066,0.1529719978570938,1,Manchester United,0.08223880082368851,0
2023-04-03,0.08850140124559402,2,0,0.15415999293327332,1,Tottenham,585925,0,Demarai Gray,2022,1,80,FW,18487,0.06565859913825989,0.0,2,Everton,0.08850140124559402,0
2023-03-18,0.035011399537324905,3,0,0.050220999866724014,2,Everton,583284,0,Demarai Gray,2022,2,90,FW,18476,0.5890430212020874,0.050220999866724014,1,Chelsea,0.035011399537324905,0
2023-03-11,0.23311500251293182,2,0,0.1858769953250885,1,Brentford,581207,0,Demarai Gray,2022,0,90,FW,18464,0.2608239948749542,0.0,3,Everton,0.23311500251293182,0
2023-03-05,0.9060530066490173,1,0,0.24365000426769257,2,Everton,580118,0,Demarai Gray,2022,2,90,FW,18459,0.05481259897351265,0.0987657979130745,2,Nottingham Forest,0.14488400518894196,1
2023-03-01,0.056947801262140274,0,0,0.056947801262140274,4,Everton,578965,0,Demarai Gray,2022,0,25,Sub,18269,0.0,0.0,1,Arsenal,0.056947801262140274,0
2023-02-25,0.09742339700460434,0,0,0.061638399958610535,0,Aston Villa,577812,0,Demarai Gray,2022,2,17,Sub,18444,0.0,0.0,2,Everton,0.09742339700460434,0
2023-02-13,0.0,0,0,0.2462639957666397,2,Everton,575883,0,Demarai Gray,2022,0,27,Sub,18428,0.0,0.2462639957666397,0,Liverpool,0.0,0
2023-01-21,0.0,1,0,0.017621999606490135,2,Everton,570170,0,Demarai Gray,2022,0,90,AMC,18411,0.11057800054550171,0.017621999606490135,0,West Ham,0.0,0
2023-01-14,0.3209640085697174,3,0,0.3278520107269287,1,Southampton,568871,1,Demarai Gray,2022,2,90,FW,18396,0.1796720027923584,0.018502000719308853,3,Everton,0.3209640085697174,0
2023-01-03,0.8138350248336792,1,0,0.1951580047607422,1,Brighton,567053,0,Demarai Gray,2022,4,90,FWL,18387,0.08765160292387009,0.14249099791049957,3,Everton,0.052666399627923965,1
2022-12-31,0.059513699263334274,0,1,0.059513699263334274,1,Everton,566465,0,Demarai Gray,2022,1,90,ML,18376,0.0,0.0,1,Manchester City,0.059513699263334274,1
2022-12-26,0.04448790103197098,1,0,0.0,1,Wolverhampton Wanderers,565546,0,Demarai Gray,2022,2,33,Sub,18367,0.010850399732589722,0.0,1,Everton,0.04448790103197098,0
2022-11-12,0.11705300211906433,1,0,0.5394530296325684,3,Everton,564589,0,Demarai Gray,2022,0,90,FWL,18352,0.023377399891614914,0.42239999771118164,3,Bournemouth,0.11705300211906433,0
2022-11-05,0.03295870125293732,2,0,0.4655660092830658,0,Leicester,562163,0,Demarai Gray,2022,2,90,FWR,18344,0.03659750148653984,0.4090760052204132,1,Everton,0.03295870125293732,0
2022-10-29,0.0862547978758812,3,0,0.6459320187568665,0,Everton,560370,0,Demarai Gray,2022,0,77,AML,18337,0.8549709916114807,0.0,2,Fulham,0.0862547978758812,0
2022-10-22,0.1364399939775467,0,0,0.2525019943714142,3,Crystal Palace,558271,0,Demarai Gray,2022,0,76,AML,18324,0.0,0.1160610020160675,2,Everton,0.1364399939775467,0
2022-10-19,0.0,1,0,0.0,1,Everton,557574,0,Demarai Gray,2022,0,81,FWL,18319,0.06095670163631439,0.0,0,Newcastle United,0.0,0
2022-10-15,0.11302500218153,0,0,0.11302500218153,2,Everton,556198,0,Demarai Gray,2022,0,90,FW,18310,0.0,0.0,1,Tottenham,0.11302500218153,0
2022-10-09,0.03941139951348305,2,0,0.19815100729465485,1,Manchester United,555241,0,Demarai Gray,2022,2,90,FWL,18297,0.06878399848937988,0.11020699888467789,1,Everton,0.03941139951348305,0
