date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.0,0,0,0.13453660905361176,1,Manchester City,600895,0,Ederson,2022,0,90,GK,18574,0.0,0.13453660905361176,0,Brentford,0.0,0
2023-05-14,0.0,0,0,0.0,0,Manchester City,596938,0,Ederson,2022,3,90,GK,18557,0.0,0.0,0,Everton,0.0,0
2023-05-06,0.0,0,0,0.12973438203334808,2,Leeds,594767,0,Ederson,2022,1,90,GK,18546,0.0,0.12973438203334808,0,Manchester City,0.0,0
2023-04-30,0.0,0,0,0.0,1,Manchester City,593082,0,Ederson,2022,2,90,GK,18537,0.0,0.0,0,Fulham,0.0,0
2023-04-26,0.0,0,0,0.371493399143219,4,Arsenal,591677,0,Ederson,2022,1,90,GK,18531,0.0,0.371493399143219,0,Manchester City,0.0,0
2023-04-15,0.0,0,0,0.0,3,Leicester,588666,0,Ederson,2022,1,90,GK,18506,0.0,0.0,0,Manchester City,0.0,0
2023-04-08,0.0,0,0,0.6149219870567322,1,Manchester City,586972,0,Ederson,2022,4,90,GK,18499,0.0,0.6149219870567322,0,Southampton,0.0,0
2023-04-01,0.0,0,0,0.6243460178375244,4,Liverpool,584365,0,Ederson,2022,1,90,GK,18488,0.0,0.6243460178375244,0,Manchester City,0.0,0
2023-03-11,0.0,0,0,0.0,0,Manchester City,581456,0,Ederson,2022,1,90,GK,18463,0.0,0.0,0,Crystal Palace,0.0,0
2023-03-04,0.0,0,0,0.0,2,Newcastle United,579177,0,Ederson,2022,0,90,GK,18458,0.0,0.0,0,Manchester City,0.0,0
2023-02-25,0.0,0,0,0.015443800017237663,1,Manchester City,578089,0,Ederson,2022,4,90,GK,18442,0.0,0.015443800017237663,0,Bournemouth,0.0,0
2023-02-18,0.0,0,0,0.035003598779439926,1,Manchester City,576523,0,Ederson,2022,1,90,GK,18439,0.0,0.035003598779439926,0,Nottingham Forest,0.0,0
2023-02-15,0.0,0,0,0.0,1,Manchester City,575931,0,Ederson,2022,3,90,GK,18312,0.0,0.0,0,Arsenal,0.0,0
2023-02-12,0.0,0,0,0.535381019115448,3,Aston Villa,575578,0,Ederson,2022,1,90,GK,18429,0.0,0.535381019115448,0,Manchester City,0.0,0
2023-02-05,0.0,0,0,0.06409379839897156,1,Manchester City,574058,0,Ederson,2022,0,90,GK,18420,0.0,0.06409379839897156,0,Tottenham,0.0,0
2023-01-22,0.0,0,0,0.09929420053958893,3,Wolverhampton Wanderers,570566,0,Ederson,2022,0,90,GK,18409,0.0,0.09929420053958893,0,Manchester City,0.0,0
2023-01-19,0.0,0,0,0.4783160090446472,4,Tottenham,569814,0,Ederson,2022,2,90,GK,18267,0.0,0.4783160090446472,0,Manchester City,0.0,0
2023-01-14,0.0,0,0,0.036243800073862076,2,Manchester City,568669,0,Ederson,2022,1,90,GK,18397,0.0,0.036243800073862076,0,Manchester United,0.0,0
2023-01-05,0.0,0,0,1.1908299922943115,0,Manchester City,567554,0,Ederson,2022,1,90,GK,18385,0.0,1.1908299922943115,0,Chelsea,0.0,0
2022-12-31,0.0,0,0,0.0,1,Everton,566442,0,Ederson,2022,1,90,GK,18376,0.0,0.0,0,Manchester City,0.0,0
2022-12-28,0.0,0,0,0.3872469961643219,1,Manchester City,565907,0,Ederson,2022,3,90,GK,18368,0.0,0.3872469961643219,0,Leeds,0.0,0
2022-11-12,0.0,0,0,0.5332430005073547,1,Brentford,564199,0,Ederson,2022,2,90,GK,18356,0.0,0.5332430005073547,0,Manchester City,0.0,0
2022-11-05,0.0,0,0,0.29381299018859863,2,Fulham,561881,0,Ederson,2022,1,90,GK,18346,0.0,0.29381299018859863,0,Manchester City,0.0,0
2022-10-29,0.0,0,0,0.036302000284194946,0,Manchester City,559779,0,Ederson,2022,1,90,GK,18338,0.0,0.036302000284194946,0,Leicester,0.0,0
2022-10-22,0.0,1,0,0.6872450113296509,3,Brighton,558232,1,Ederson,2022,1,90,GK,18326,0.28556498885154724,0.6872450113296509,0,Manchester City,0.0,0
2022-10-16,0.0,0,0,0.04674210026860237,1,Manchester City,556892,0,Ederson,2022,0,90,GK,18307,0.0,0.04674210026860237,0,Liverpool,0.0,0
2022-10-08,0.0,0,0,0.21730299293994904,4,Southampton,554118,0,Ederson,2022,0,90,GK,18298,0.0,0.21730299293994904,0,Manchester City,0.0,0
2022-10-02,0.0,0,0,0.7059080004692078,6,Manchester United,552915,0,Ederson,2022,3,90,GK,18289,0.0,0.7059080004692078,0,Manchester City,0.0,0
2022-09-17,0.0,0,0,0.30341199040412903,0,Manchester City,550442,0,Ederson,2022,3,90,GK,18274,0.0,0.30341199040412903,0,Wolverhampton Wanderers,0.0,0
2022-09-03,0.0,0,0,0.8587219715118408,1,Manchester City,547439,0,Ederson,2022,1,90,GK,18258,0.0,0.8587219715118408,0,Aston Villa,0.0,0
2022-08-31,0.0,0,0,0.42950400710105896,6,Nottingham Forest,546310,0,Ederson,2022,0,90,GK,18246,0.0,0.42950400710105896,0,Manchester City,0.0,0
2022-08-27,0.0,0,0,0.42723700404167175,4,Crystal Palace,544428,0,Ederson,2022,2,90,GK,18237,0.0,0.42723700404167175,0,Manchester City,0.0,0
2022-08-21,0.0,0,0,0.4664570093154907,3,Manchester City,543276,0,Ederson,2022,3,90,GK,18230,0.0,0.4664570093154907,0,Newcastle United,0.0,0
2022-08-13,0.0,0,0,0.0762438029050827,4,Bournemouth,540554,0,Ederson,2022,0,90,GK,18214,0.0,0.0762438029050827,0,Manchester City,0.0,0
2022-08-07,0.0,0,0,0.872793972492218,0,Manchester City,540077,0,Ederson,2022,2,90,GK,18211,0.0,0.872793972492218,0,West Ham,0.0,0
