date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.07133910804986954,0,0,0.8028599619865417,2,Brighton,600859,0,John McGinn,2022,1,90,AMC,18573,0.0,0.7315208315849304,1,Aston Villa,0.07133910804986954,0
2023-05-20,0.05710338056087494,0,0,0.05710338056087494,1,Aston Villa,598163,0,John McGinn,2022,1,90,AMC,18565,0.0,0.0,2,Liverpool,0.05710338056087494,0
2023-05-13,0.02736631967127323,0,0,0.7292463779449463,2,Tottenham,596342,0,John McGinn,2022,1,90,MC,18553,0.0,0.7018800973892212,1,Aston Villa,0.02736631967127323,0
2023-05-06,0.0,0,0,0.1077398881316185,1,Aston Villa,594846,0,John McGinn,2022,0,90,MC,18551,0.0,0.1077398881316185,0,Wolverhampton Wanderers,0.0,0
2023-04-30,0.03955947980284691,1,0,0.05898549035191536,1,Aston Villa,592875,0,John McGinn,2022,0,90,AMR,18540,0.07784956693649292,0.04403287172317505,2,Manchester United,0.03955947980284691,0
2023-04-25,0.10848988592624664,3,0,0.3287220895290375,1,Fulham,591448,1,John McGinn,2022,0,90,AMR,18528,0.28258830308914185,0.08654611557722092,2,Aston Villa,0.10848988592624664,0
2023-04-22,0.053125329315662384,0,0,0.2589000463485718,1,Aston Villa,590192,0,John McGinn,2022,1,90,AMR,18514,0.0,0.2057747095823288,2,Brentford,0.053125329315662384,0
2023-04-15,0.06256230175495148,0,0,0.4264039993286133,3,Newcastle United,588122,0,John McGinn,2022,0,90,AMR,18502,0.0,0.3638420104980469,2,Aston Villa,0.06256230175495148,0
2023-04-08,0.0,1,0,0.07553330063819885,2,Nottingham Forest,586754,0,John McGinn,2022,0,90,MC,18492,0.07553330063819885,0.07553330063819885,0,Aston Villa,0.0,0
2023-04-04,0.022462699562311172,0,0,0.3217630088329315,1,Aston Villa,585994,0,John McGinn,2022,2,90,MC,18263,0.0,0.2992999851703644,1,Leicester,0.022462699562311172,0
2023-04-01,0.1133589968085289,1,1,0.43229201436042786,0,Aston Villa,584939,0,John McGinn,2022,2,90,MR,18485,0.31049200892448425,0.3458609879016876,2,Chelsea,0.1133589968085289,1
2023-03-18,0.0,3,0,0.41508400440216064,3,Bournemouth,583049,0,John McGinn,2022,0,90,DMC,18473,0.23003900051116943,0.28005000948905945,0,Aston Villa,0.0,0
2023-03-12,0.012055699713528156,0,0,0.8366829752922058,1,Aston Villa,581949,0,John McGinn,2022,1,90,DMC,18471,0.0,0.8246269822120667,1,West Ham,0.012055699713528156,0
2023-03-04,0.28035399317741394,0,0,0.6696810126304626,1,Crystal Palace,579488,0,John McGinn,2022,0,90,AMR,18453,0.0,0.3893269896507263,3,Aston Villa,0.28035399317741394,0
2023-02-25,0.01938910037279129,1,0,0.3975290060043335,0,Aston Villa,577818,1,John McGinn,2022,2,90,MR,18444,0.3358849883079529,0.0422545000910759,1,Everton,0.01938910037279129,0
2023-02-18,0.02934649959206581,0,0,0.02934649959206581,2,Arsenal,576106,0,John McGinn,2022,4,90,MR,18432,0.0,0.0,1,Aston Villa,0.02934649959206581,0
2023-02-12,0.0,0,0,0.0,3,Aston Villa,575608,0,John McGinn,2022,1,27,Sub,18429,0.0,0.0,0,Manchester City,0.0,0
2023-01-01,0.0,2,0,0.7438229918479919,0,Aston Villa,566735,1,John McGinn,2022,2,80,MR,18379,0.6101890206336975,0.16340500116348267,0,Tottenham,0.0,0
2022-12-26,0.3238320052623749,1,0,1.0286099910736084,1,Liverpool,565602,0,John McGinn,2022,3,90,MR,18363,0.24609099328517914,0.4586859941482544,3,Aston Villa,0.3238320052623749,0
2022-11-13,0.0,0,0,0.05530789867043495,1,Aston Villa,565012,0,John McGinn,2022,2,90,MR,18353,0.0,0.05530789867043495,0,Brighton,0.0,0
2022-11-06,0.0,0,0,0.0,3,Manchester United,562544,0,John McGinn,2022,1,18,Sub,18342,0.0,0.0,0,Aston Villa,0.0,0
2022-10-29,0.0,0,0,0.0,4,Aston Villa,560102,0,John McGinn,2022,0,11,Sub,18341,0.0,0.0,0,Newcastle United,0.0,0
2022-10-23,0.0,0,0,0.0,4,Brentford,558794,0,John McGinn,2022,0,24,Sub,18322,0.0,0.0,0,Aston Villa,0.0,0
