date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.20367483794689178,0,0,0.35786837339401245,1,Tottenham,600997,0,Luke Ayling,2022,4,90,DR,18578,0.0,0.15419352054595947,3,Leeds,0.20367483794689178,0
2023-05-21,0.0,0,0,0.0,3,Leeds,598682,0,Luke Ayling,2022,1,90,DR,18570,0.0,0.0,0,West Ham,0.0,0
2023-05-13,0.8875716924667358,0,1,0.8875716924667358,2,Newcastle United,596059,0,Luke Ayling,2022,2,90,DR,18558,0.0,0.0,1,Leeds,0.8875716924667358,1
2023-05-06,0.0,1,0,0.07809672504663467,2,Leeds,594782,0,Luke Ayling,2022,1,90,DR,18546,0.05459118261933327,0.023505542427301407,0,Manchester City,0.0,0
2023-04-30,0.04522411897778511,2,0,0.09184107184410095,4,Leeds,592934,0,Luke Ayling,2022,1,90,DMR,18533,0.09184107184410095,0.09184107184410095,1,Bournemouth,0.04522411897778511,0
2023-04-25,0.04569195955991745,0,0,0.4325169026851654,1,Leicester,591472,0,Luke Ayling,2022,1,90,DR,18523,0.0,0.38682496547698975,2,Leeds,0.04569195955991745,0
2023-04-09,0.0398222990334034,1,0,0.20845499634742737,1,Crystal Palace,587449,0,Luke Ayling,2022,5,90,DR,18495,0.10599099844694138,0.16863299906253815,1,Leeds,0.0398222990334034,0
2023-04-04,0.036812398582696915,1,0,0.7059289813041687,2,Nottingham Forest,586034,0,Luke Ayling,2022,1,90,DR,18271,0.01799679920077324,0.6511200070381165,1,Leeds,0.036812398582696915,0
2023-04-01,0.0,0,0,0.2550550103187561,4,Leeds,584777,0,Luke Ayling,2022,1,90,DR,18482,0.0,0.2550550103187561,0,Arsenal,0.0,0
2023-03-18,0.47082799673080444,0,1,0.0,2,Leeds,583121,0,Luke Ayling,2022,4,90,DR,18481,0.0,0.0,1,Wolverhampton Wanderers,0.47082799673080444,1
2023-03-11,0.14990100264549255,0,0,0.10540600121021271,2,Brighton,581258,0,Luke Ayling,2022,2,90,DR,18466,0.0,0.01010959967970848,2,Leeds,0.14990100264549255,0
2023-03-04,0.04394889995455742,2,0,0.19934099912643433,1,Leeds,579558,0,Luke Ayling,2022,0,90,DR,18456,0.14484000205993652,0.15539200603961945,1,Chelsea,0.04394889995455742,0
2023-02-25,0.054524000734090805,0,0,0.2272769957780838,1,Southampton,577827,0,Luke Ayling,2022,0,90,DR,18446,0.0,0.1727530062198639,1,Leeds,0.054524000734090805,0
2023-02-18,0.28054898977279663,0,0,0.08246809989213943,1,Leeds,576430,0,Luke Ayling,2022,0,90,DR,18436,0.0,0.08246809989213943,1,Everton,0.28054898977279663,0
2023-02-12,0.15979500114917755,1,0,0.6702269911766052,0,Manchester United,575396,0,Luke Ayling,2022,2,90,DR,18426,0.3539220094680786,0.3163059949874878,2,Leeds,0.15979500114917755,0
2023-02-08,0.11333499848842621,0,0,0.09514229744672775,2,Leeds,574401,0,Luke Ayling,2022,2,90,DR,18279,0.0,0.0751447007060051,2,Manchester United,0.11333499848842621,0
2023-02-05,0.10011900216341019,0,0,0.10011900216341019,1,Leeds,573843,0,Luke Ayling,2022,0,90,DR,18419,0.0,0.0,2,Nottingham Forest,0.10011900216341019,0
2023-01-22,0.0,1,0,0.12117700278759003,0,Brentford,570599,0,Luke Ayling,2022,0,90,DR,18406,0.018673600628972054,0.10250300168991089,0,Leeds,0.0,0
2023-01-13,0.0,1,0,1.0188000202178955,2,Leeds,568638,0,Luke Ayling,2022,1,90,DR,18392,0.5854179859161377,0.43338099122047424,0,Aston Villa,0.0,0
2023-01-04,0.0,1,0,0.45461899042129517,2,West Ham,567416,0,Luke Ayling,2022,2,90,DR,18388,0.08465059846639633,0.45461899042129517,0,Leeds,0.0,0
2022-12-31,0.0,0,0,0.0,0,Leeds,566397,0,Luke Ayling,2022,0,72,DR,18377,0.0,0.0,0,Newcastle United,0.0,0
2022-12-28,0.0,0,0,0.0,1,Manchester City,565905,0,Luke Ayling,2022,3,23,Sub,18368,0.0,0.0,0,Leeds,0.0,0
2022-11-12,0.0,0,0,0.0,4,Leeds,564499,0,Luke Ayling,2022,3,9,Sub,18359,0.0,0.0,0,Tottenham,0.0,0
2022-11-05,0.0,0,0,0.0,4,Bournemouth,561864,0,Luke Ayling,2022,3,1,Sub,18345,0.0,0.0,0,Leeds,0.0,0
2022-10-29,0.0,0,0,0.0,1,Leeds,560435,0,Luke Ayling,2022,2,1,Sub,18339,0.0,0.0,0,Liverpool,0.0,0
2022-10-23,0.06593640148639679,0,0,0.07641500234603882,2,Fulham,558812,0,Luke Ayling,2022,3,90,DR,18325,0.0,0.050381798297166824,2,Leeds,0.06593640148639679,0
2022-10-09,0.0,0,0,0.0,2,Leeds,554736,0,Luke Ayling,2022,1,1,Sub,18296,0.0,0.0,0,Crystal Palace,0.0,0
2022-10-02,0.0,0,0,0.0,0,Aston Villa,553306,0,Luke Ayling,2022,0,17,Sub,18286,0.0,0.0,0,Leeds,0.0,0
2022-09-03,0.014843899756669998,1,0,0.9364339709281921,5,Leeds,547242,1,Luke Ayling,2022,2,16,Sub,18257,0.36124399304389954,0.9364339709281921,1,Brentford,0.014843899756669998,0
