date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-05-28,0,0,0,0.13484999537467957,0,2,West Ham,0,601206,0,Manuel Lanzini,2022,1,3,Sub,18579,0,Leicester,0.13484999537467957,0
2023-05-21,0.6001218557357788,1,1,0.9372279047966003,0.33710601925849915,3,Leeds,0.6001218557357788,598677,0,Manuel Lanzini,2022,1,2,Sub,18570,1,West Ham,0,1
2023-05-14,0,0,0,0.030361955985426903,0,2,West Ham,0,596916,0,Manuel Lanzini,2022,0,90,AMC,18554,0,Brentford,0.030361955985426903,0
2023-03-04,0,0,0,0,0,4,West Ham,0,579598,0,Manuel Lanzini,2022,0,12,Sub,18455,0,Brighton,0,0
2023-02-25,0,0,0,0,0,4,Nottingham Forest,0,577897,0,Manuel Lanzini,2022,0,6,Sub,18451,0,West Ham,0,0
2022-11-06,0,0,0,0,0,1,Crystal Palace,0,562729,0,Manuel Lanzini,2022,2,24,Sub,18350,0,West Ham,0,0
2022-10-16,0,0,0,0,0,1,West Ham,0,556693,0,Manuel Lanzini,2022,1,1,Sub,18309,0,Southampton,0,0
2022-08-21,0,0,0,0.025861699134111404,0,0,Brighton,0,542927,0,Manuel Lanzini,2022,2,13,Sub,18229,0,West Ham,0.025861699134111404,0
2022-08-14,0.03215770050883293,0,0,0.03215770050883293,0,1,West Ham,0.03215770050883293,541278,0,Manuel Lanzini,2022,0,18,Sub,18219,1,Nottingham Forest,0,0
2022-08-07,0.012050599791109562,0,0,0.012050599791109562,0,0,Manchester City,0.012050599791109562,540069,0,Manuel Lanzini,2022,2,61,AMC,18211,1,West Ham,0,0
