date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-05-28,0,1,0,0.03883183375000954,0.017513535916805267,2,Brighton,0,600874,0,Moisés Caicedo,2022,1,41,Sub,18573,0,Aston Villa,0.02131829597055912,0
2023-05-24,0.04319467768073082,1,0,0.32336288690567017,0.01993105560541153,1,Manchester City,0.04319467768073082,599590,0,Moisés Caicedo,2022,1,90,DMC,18515,1,Brighton,0.2602371275424957,0
2023-05-21,0.020087359473109245,1,0,0.6411868333816528,0.022168537601828575,3,Southampton,0.020087359473109245,598790,0,Moisés Caicedo,2022,1,90,DMC,18563,1,Brighton,0.6190183162689209,0
2023-05-18,0.021080665290355682,1,0,0.09477224200963974,0.06154848635196686,4,Brighton,0.021080665290355682,597639,0,Moisés Caicedo,2022,1,90,DR,18449,1,Newcastle United,0.03322375565767288,0
2023-05-14,0,0,0,0.1416468322277069,0,0,Brighton,0,597301,0,Moisés Caicedo,2022,3,90,DR,18552,0,Arsenal,0.1416468322277069,0
2023-05-08,0.09107501059770584,3,0,0.7622125148773193,0.14028707146644592,1,Everton,0.09107501059770584,595788,0,Moisés Caicedo,2022,5,90,DMC,18543,2,Brighton,0.7043176889419556,0
2023-05-04,0.04380271956324577,1,0,0.2660961449146271,0.01996028795838356,1,Manchester United,0.04380271956324577,594334,0,Moisés Caicedo,2022,0,90,DR,18475,1,Brighton,0.20233312249183655,0
2023-04-29,0.06573259085416794,1,0,0.2663271725177765,0.07843495160341263,6,Wolverhampton Wanderers,0.06573259085416794,592367,0,Moisés Caicedo,2022,0,20,Sub,18535,2,Brighton,0.20059458911418915,0
2023-04-26,0,0,0,0.6979002952575684,0,3,Brighton,0,591610,0,Moisés Caicedo,2022,1,90,DMC,18524,0,Nottingham Forest,0.6979002952575684,0
2023-04-15,0,1,0,0.2598940134048462,0.02516629919409752,1,Brighton,0,588473,0,Moisés Caicedo,2022,2,90,DMC,18503,0,Chelsea,0.2598940134048462,0
2023-04-08,0.017489999532699585,2,0,0.24007199704647064,0.0407802015542984,2,Brighton,0.017489999532699585,586738,0,Moisés Caicedo,2022,1,90,DMC,18500,1,Tottenham,0.20320099592208862,0
2023-04-04,0,0,0,0.7569839954376221,0,0,Brighton,0,586023,0,Moisés Caicedo,2022,2,85,DMC,18266,0,Bournemouth,0.7569839954376221,0
2023-04-01,0.10052700340747833,6,0,1.2219500541687012,0.6652899980545044,3,Brentford,0.10052700340747833,584737,0,Moisés Caicedo,2022,3,90,DMC,18484,2,Brighton,0.5286639928817749,0
2023-03-15,0.05850210040807724,0,0,0.30400699377059937,0,1,Crystal Palace,0.05850210040807724,582520,0,Moisés Caicedo,2022,0,90,DMC,18276,1,Brighton,0.2455040067434311,0
2023-03-11,0,1,0,0.3235520124435425,0.018417099490761757,2,Brighton,0,581278,0,Moisés Caicedo,2022,2,90,DMC,18466,0,Leeds,0.30513501167297363,0
2023-03-04,0.015613500028848648,0,0,0.48871099948883057,0,4,West Ham,0.015613500028848648,579576,0,Moisés Caicedo,2022,0,90,DMC,18455,1,Brighton,0.48871099948883057,0
2023-02-18,0.019931700080633163,1,0,1.566480040550232,0.0342525988817215,0,Fulham,0.019931700080633163,576328,0,Moisés Caicedo,2022,1,90,DMC,18434,1,Brighton,1.5123000144958496,0
2023-02-11,0,1,0,0.4497759938240051,0.047022800892591476,1,Brighton,0,574862,0,Moisés Caicedo,2022,1,90,DMC,18424,0,Crystal Palace,0.4497759938240051,0
2023-02-04,0.017929300665855408,2,0,0.2889769971370697,0.12679900228977203,1,Bournemouth,0.017929300665855408,573318,0,Moisés Caicedo,2022,0,30,Sub,18414,1,Brighton,0.2889769971370697,0
2023-01-21,0,1,0,0.7136489748954773,0.07425829768180847,2,Brighton,0,570194,0,Moisés Caicedo,2022,2,90,DMC,18407,0,Leicester,0.7136489748954773,0
2023-01-14,0,1,0,0.3456999957561493,0.024957599118351936,3,Liverpool,0,568750,0,Moisés Caicedo,2022,0,90,DMC,18394,0,Brighton,0.3456999957561493,0
2023-01-03,0.023492200300097466,3,0,0.6958280205726624,0.3766840100288391,1,Brighton,0.023492200300097466,567064,1,Moisés Caicedo,2022,4,90,DMC,18387,1,Everton,0.29565098881721497,0
2022-12-26,0.10560300201177597,0,0,0.9189850091934204,0,1,Brighton,0.10560300201177597,565494,0,Moisés Caicedo,2022,3,90,DMC,18371,1,Southampton,0.8133820295333862,0
2022-11-13,0,0,0,0,0,1,Aston Villa,0,564998,0,Moisés Caicedo,2022,2,90,DMC,18353,0,Brighton,0,0
2022-11-05,0.013095700182020664,0,0,0.5639259815216064,0,2,Brighton,0.013095700182020664,561962,0,Moisés Caicedo,2022,3,90,DMC,18351,1,Wolverhampton Wanderers,0.5508300065994263,0
2022-10-29,0.11605600267648697,3,0,0.873216986656189,0.40406501293182373,4,Chelsea,0.11605600267648697,560046,0,Moisés Caicedo,2022,1,90,DMC,18335,1,Brighton,0.5161529779434204,0
2022-10-22,0,0,0,0.07215960323810577,0,3,Brighton,0,558252,0,Moisés Caicedo,2022,1,90,MC,18326,0,Manchester City,0.07215960323810577,0
2022-10-18,0,1,0,0.8231580257415771,0.033445000648498535,0,Nottingham Forest,0,557315,0,Moisés Caicedo,2022,0,90,MC,18315,0,Brighton,0.8231580257415771,0
2022-10-14,0.034797199070453644,2,0,1.0455299615859985,0.05939450114965439,2,Brighton,0.034797199070453644,555557,0,Moisés Caicedo,2022,0,90,MC,18303,2,Brentford,0.951341986656189,0
2022-10-08,0.02073349989950657,4,0,0.24612100422382355,0.17617499828338623,0,Tottenham,0.02073349989950657,554376,0,Moisés Caicedo,2022,1,90,MC,18294,1,Brighton,0.11305200308561325,0
2022-10-01,0,0,0,0.8209969997406006,0,3,Brighton,0,552353,0,Moisés Caicedo,2022,3,90,MC,18288,0,Liverpool,0.8209969997406006,0
2022-09-04,0.37685099244117737,0,1,0.6591460108757019,0,5,Leicester,0.37685099244117737,547881,0,Moisés Caicedo,2022,2,90,MC,18259,3,Brighton,0.28229600191116333,1
2022-08-30,0,1,0,0.10340700298547745,0.05837089940905571,2,Brighton,0,545844,0,Moisés Caicedo,2022,1,79,MC,18242,0,Fulham,0.045036301016807556,0
2022-08-27,0,0,0,0.3681600093841553,0,1,Leeds,0,544404,0,Moisés Caicedo,2022,0,90,MC,18234,0,Brighton,0.3681600093841553,0
2022-08-21,0.015425199642777443,0,0,0.477977991104126,0,0,Brighton,0.015425199642777443,542938,0,Moisés Caicedo,2022,2,90,MC,18229,1,West Ham,0.477977991104126,0
2022-08-13,0.014623000286519527,1,0,0.5681480169296265,0.03137170150876045,0,Newcastle United,0.014623000286519527,540680,0,Moisés Caicedo,2022,0,90,MC,18213,1,Brighton,0.5221530199050903,0
2022-08-07,0,3,0,0.8949530124664307,0.08746019750833511,1,Brighton,0,539815,0,Moisés Caicedo,2022,2,90,MC,18209,0,Manchester United,0.8846259713172913,0
