date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.0,1,0,0.10649196058511734,1,Bournemouth,600988,0,Philip Billing,2022,0,90,DMC,18577,0.009081953205168247,0.10649196058511734,0,Everton,0.0,0
2023-05-13,0.0,1,0,0.06256277859210968,2,Bournemouth,596414,0,Philip Billing,2022,0,63,AMC,18556,0.06256277859210968,0.0,0,Crystal Palace,0.0,0
2023-05-06,0.1119316816329956,1,0,0.39515262842178345,1,Chelsea,594744,0,Philip Billing,2022,3,85,AMC,18542,0.023702828213572502,0.2595181465148926,1,Bournemouth,0.1119316816329956,0
2023-04-30,0.7073615193367004,1,0,0.7413022518157959,4,Leeds,592922,0,Philip Billing,2022,1,66,AMC,18533,0.033940695226192474,0.0,2,Bournemouth,0.7073615193367004,0
2023-04-27,0.1934307962656021,1,0,0.3031896650791168,0,Bournemouth,591884,0,Philip Billing,2022,1,90,AMC,18530,0.037640735507011414,0.1097588837146759,3,Southampton,0.1934307962656021,0
2023-04-23,0.02072008140385151,1,0,0.4536929428577423,0,West Ham,590797,0,Philip Billing,2022,4,90,AMC,18513,0.0475495383143425,0.38542330265045166,1,Bournemouth,0.02072008140385151,0
2023-04-15,0.0,0,0,0.38538500666618347,2,Bournemouth,588533,0,Philip Billing,2022,3,82,AMC,18509,0.0,0.38538500666618347,0,Tottenham,0.0,0
2023-04-08,0.5181670188903809,2,1,0.8348060250282288,0,Bournemouth,586828,0,Philip Billing,2022,1,90,AMC,18496,0.4789080023765564,0.1241149976849556,5,Leicester,0.5181670188903809,1
2023-04-04,0.0,1,0,0.015018600039184093,0,Brighton,586009,0,Philip Billing,2022,2,90,MC,18266,0.0938694030046463,0.015018600039184093,0,Bournemouth,0.0,0
2023-04-01,0.5291640162467957,2,0,0.18123699724674225,2,Fulham,584651,0,Philip Billing,2022,1,90,AMC,18483,0.4726020097732544,0.09757170081138611,1,Bournemouth,0.5291640162467957,0
2023-03-18,0.12127699702978134,0,0,0.13559700548648834,3,Bournemouth,583066,0,Philip Billing,2022,0,90,AMC,18473,0.0,0.09090189635753632,2,Aston Villa,0.12127699702978134,0
2023-03-11,0.36011001467704773,0,1,0.36011001467704773,1,Liverpool,580924,0,Philip Billing,2022,0,71,AMC,18462,0.0,0.0,1,Bournemouth,0.36011001467704773,1
2023-03-04,0.5496259927749634,1,1,1.1673799753189087,3,Bournemouth,579624,0,Philip Billing,2022,2,90,MC,18452,0.6177520155906677,0.0,1,Arsenal,0.5496259927749634,1
2023-02-25,0.015195400454103947,1,0,0.030305100604891777,1,Manchester City,578083,0,Philip Billing,2022,4,60,MC,18442,0.030305100604891777,0.0,1,Bournemouth,0.015195400454103947,0
2023-02-18,0.0,0,0,0.0,0,Bournemouth,576372,0,Philip Billing,2022,1,90,DMC,18441,0.0,0.0,0,Wolverhampton Wanderers,0.0,0
2023-02-11,0.07517620176076889,0,0,0.18662600219249725,1,Newcastle United,575031,0,Philip Billing,2022,1,90,MC,18423,0.0,0.11145000159740448,1,Bournemouth,0.07517620176076889,0
2023-02-04,0.01730169914662838,0,0,0.01730169914662838,1,Bournemouth,573330,0,Philip Billing,2022,0,69,MC,18414,0.0,0.0,1,Brighton,0.01730169914662838,0
2023-01-14,0.03741680085659027,3,0,0.20281100273132324,2,Bournemouth,569043,0,Philip Billing,2022,0,90,FW,18393,0.16539399325847626,0.03908989951014519,2,Brentford,0.03741680085659027,0
2023-01-03,0.35152900218963623,1,0,0.4044550061225891,3,Bournemouth,567100,0,Philip Billing,2022,0,78,FW,18390,0.09154219925403595,0.0,2,Manchester United,0.35152900218963623,0
2022-12-31,0.0,0,0,0.0,0,Crystal Palace,566478,0,Philip Billing,2022,2,37,MC,18372,0.0,0.0,0,Bournemouth,0.0,0
2022-12-27,0.038983698934316635,0,0,0.0,2,Bournemouth,565676,0,Philip Billing,2022,0,70,MC,18365,0.0,0.0,1,Chelsea,0.038983698934316635,0
2022-11-12,0.18135899305343628,0,0,0.32486000657081604,3,Everton,564573,0,Philip Billing,2022,0,90,ML,18352,0.0,0.2003049999475479,3,Bournemouth,0.18135899305343628,0
2022-11-05,0.13738399744033813,1,1,0.9058679938316345,4,Bournemouth,561872,0,Philip Billing,2022,3,90,MR,18345,0.4084230065345764,0.4226450026035309,2,Leeds,0.13738399744033813,1
2022-10-29,0.0,0,0,0.01467640046030283,2,Tottenham,560140,0,Philip Billing,2022,3,65,AMC,18333,0.0,0.01467640046030283,0,Bournemouth,0.0,0
2022-10-24,0.0,1,0,0.049045901745557785,2,Bournemouth,559541,0,Philip Billing,2022,0,90,AMC,18330,0.049045901745557785,0.049045901745557785,0,West Ham,0.0,0
2022-10-19,0.12950000166893005,0,0,0.30606499314308167,0,Southampton,557498,0,Philip Billing,2022,1,84,FW,18313,0.0,0.1765650063753128,2,Bournemouth,0.12950000166893005,0
2022-10-15,0.0,1,0,0.500415027141571,2,Bournemouth,555984,1,Philip Billing,2022,2,82,FW,18304,0.4310869872570038,0.0693276971578598,0,Fulham,0.0,0
2022-10-08,0.10967499762773514,1,1,0.7391660213470459,2,Leicester,554066,0,Philip Billing,2022,1,79,FW,18293,0.058866798877716064,0.5706239938735962,1,Bournemouth,0.10967499762773514,1
2022-10-01,0.046856001019477844,0,0,0.0,0,Brentford,552399,0,Philip Billing,2022,0,90,ML,18283,0.0,0.0,1,Bournemouth,0.046856001019477844,0
2022-09-17,0.6139289736747742,2,1,0.762677013874054,1,Bournemouth,550696,0,Philip Billing,2022,1,90,AMC,18275,0.07888849824666977,0.06985879689455032,2,Newcastle United,0.6139289736747742,1
2022-09-03,0.013155199587345123,1,1,0.26162898540496826,2,Bournemouth,547147,0,Philip Billing,2022,3,90,AMC,18254,0.11880599707365036,0.1296669989824295,1,Nottingham Forest,0.013155199587345123,1
2022-08-31,0.0,2,0,0.12054400146007538,0,Wolverhampton Wanderers,546291,0,Philip Billing,2022,0,80,FW,18248,0.12054400146007538,0.10749399662017822,0,Bournemouth,0.0,0
2022-08-27,0.0,0,0,0.0,9,Bournemouth,544485,0,Philip Billing,2022,0,42,Sub,18236,0.0,0.0,0,Liverpool,0.0,0
2022-08-20,0.0,0,0,0.0,0,Arsenal,542557,0,Philip Billing,2022,3,67,FW,18227,0.0,0.0,0,Bournemouth,0.0,0
2022-08-13,0.0,1,0,0.0267488993704319,4,Bournemouth,540582,0,Philip Billing,2022,0,22,Sub,18214,0.0267488993704319,0.0267488993704319,0,Manchester City,0.0,0
2022-08-06,0.01494939997792244,0,0,0.0,2,Aston Villa,539402,0,Philip Billing,2022,0,90,MC,18204,0.0,0.0,1,Bournemouth,0.01494939997792244,0
