date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-08,0.0,2,0,0.011897962540388107,4,Southampton,595871,0,Samuel Edozie,2022,3,11,Sub,18548,0.03180864825844765,0.0,0,Nottingham Forest,0.0,0
2023-04-15,0.0,0,0,0.0,0,Crystal Palace,588434,0,Samuel Edozie,2022,2,9,Sub,18508,0.0,0.0,0,Southampton,0.0,0
2023-02-11,0.0,0,0,0.0,1,Wolverhampton Wanderers,574823,0,Samuel Edozie,2022,2,7,Sub,18430,0.0,0.0,0,Southampton,0.0,0
2023-02-04,0.08609329909086227,0,0,0.09777429699897766,3,Southampton,573236,0,Samuel Edozie,2022,0,68,AMR,18413,0.0,0.011680999770760536,1,Brentford,0.08609329909086227,0
2023-01-21,0.0,0,0,0.0,0,Aston Villa,570209,0,Samuel Edozie,2022,1,65,AMR,18410,0.0,0.0,0,Southampton,0.0,0
2023-01-14,0.10007499903440475,2,0,0.2382819950580597,1,Southampton,568884,0,Samuel Edozie,2022,2,63,FW,18396,0.13820700347423553,0.0,1,Everton,0.10007499903440475,0
2023-01-04,0.0,0,0,0.030271999537944794,0,Nottingham Forest,567364,0,Samuel Edozie,2022,1,23,Sub,18391,0.0,0.030271999537944794,0,Southampton,0.0,0
2022-12-31,0.07118190079927444,0,0,0.4235199987888336,2,Southampton,566435,0,Samuel Edozie,2022,1,79,AMC,18374,0.0,0.3523379862308502,1,Fulham,0.07118190079927444,0
2022-12-26,0.3890730142593384,1,0,0.5162569880485535,1,Brighton,565482,0,Samuel Edozie,2022,3,84,AML,18371,0.0509846992790699,0.10979799926280975,3,Southampton,0.3890730142593384,0
2022-11-12,0.41891300678253174,0,0,0.7571200132369995,3,Southampton,564564,0,Samuel Edozie,2022,1,29,Sub,18355,0.0,0.3382070064544678,1,Liverpool,0.41891300678253174,0
2022-11-06,0.0,0,0,0.4354400038719177,1,Newcastle United,562637,0,Samuel Edozie,2022,4,21,Sub,18348,0.0,0.4354400038719177,0,Southampton,0.0,0
2022-10-29,0.0,1,0,0.05561729893088341,1,Southampton,560039,0,Samuel Edozie,2022,0,14,Sub,18336,0.03157519921660423,0.024041999131441116,0,Crystal Palace,0.0,0
2022-10-23,0.0,0,0,0.0,1,Arsenal,558852,0,Samuel Edozie,2022,1,8,Sub,18328,0.0,0.0,0,Southampton,0.0,0
2022-10-16,0.019760699942708015,0,0,0.019760699942708015,1,West Ham,556679,0,Samuel Edozie,2022,1,13,Sub,18309,0.0,0.0,1,Southampton,0.019760699942708015,0
2022-10-01,0.0,1,0,0.0722678005695343,1,Everton,552314,0,Samuel Edozie,2022,2,23,Sub,18290,0.028658799827098846,0.0722678005695343,0,Southampton,0.0,0
2022-09-16,0.0,0,0,0.0,1,Southampton,550361,0,Samuel Edozie,2022,0,8,Sub,18272,0.0,0.0,0,Aston Villa,0.0,0
2022-09-03,0.0,1,0,0.08800770342350006,1,Southampton,547211,0,Samuel Edozie,2022,0,15,Sub,18256,0.035320401191711426,0.08800770342350006,0,Wolverhampton Wanderers,0.0,0
