date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-15,0.0,0,0,0.0,0,Liverpool,597572,0,Tetê,2022,3,25,Sub,18559,0.0,0.0,0,Leicester,0.0,0
2023-05-08,0.07586955279111862,0,0,0.42200204730033875,5,Leicester,595681,0,Tetê,2022,3,43,Sub,18544,0.0,0.3461324870586395,1,Fulham,0.07586955279111862,0
2023-04-25,0.0,1,0,0.08700747042894363,1,Leicester,591491,0,Tetê,2022,1,74,AMR,18523,0.11522874981164932,0.08700747042894363,0,Leeds,0.0,0
2023-04-22,0.5860930681228638,2,0,0.7737568616867065,2,Wolverhampton Wanderers,590146,0,Tetê,2022,1,81,AMR,18518,0.12904995679855347,0.06791238486766815,2,Leicester,0.5860930681228638,0
2023-04-08,0.02754569984972477,0,0,0.01924159936606884,0,Bournemouth,586817,0,Tetê,2022,1,17,Sub,18496,0.0,0.01924159936606884,1,Leicester,0.02754569984972477,0
2023-04-01,0.0,0,0,0.0,2,Leicester,584725,0,Tetê,2022,1,48,AMR,18486,0.0,0.0,0,Crystal Palace,0.0,0
2023-03-18,0.05477390065789223,1,0,0.1054769977927208,1,Leicester,583035,0,Tetê,2022,1,68,AMR,18474,0.0466574989259243,0.050703100860118866,1,Brentford,0.05477390065789223,0
2023-03-11,0.0,0,0,0.13099299371242523,1,Chelsea,581297,0,Tetê,2022,3,18,Sub,18467,0.0,0.13099299371242523,0,Leicester,0.0,0
2023-03-04,0.04883719980716705,0,0,0.3659850060939789,1,Leicester,579776,0,Tetê,2022,0,73,AMR,18460,0.0,0.3495509922504425,2,Southampton,0.04883719980716705,0
2023-02-25,0.0,0,0,0.0,0,Arsenal,577864,0,Tetê,2022,1,64,FWR,18447,0.0,0.0,0,Leicester,0.0,0
2023-02-19,0.11825499683618546,2,0,0.5526300072669983,3,Leicester,576957,0,Tetê,2022,0,78,AMR,18437,0.0958200991153717,0.3385539948940277,3,Manchester United,0.11825499683618546,0
2023-02-11,0.09734880179166794,0,0,0.4232650101184845,4,Tottenham,574939,0,Tetê,2022,1,81,AMR,18427,0.0,0.32591599225997925,2,Leicester,0.09734880179166794,0
2023-02-04,0.8473150134086609,0,1,0.8707839846611023,2,Leicester,573360,0,Tetê,2022,4,86,AMR,18412,0.0,0.023468900471925735,3,Aston Villa,0.8473150134086609,1
2023-01-14,0.0,0,0,0.0,1,Strasbourg,569120,0,Tetê,2022,2,6,Sub,19832,0.0,0.0,0,Lyon,0.0,0
2023-01-11,0.07724180072546005,0,0,0.08760509639978409,0,Lyon,568247,0,Tetê,2022,0,69,FWR,19822,0.0,0.07127229869365692,2,Nantes,0.07724180072546005,0
2023-01-01,0.019093699753284454,1,0,0.08764749765396118,0,Clermont Foot,566753,0,Tetê,2022,1,75,AMR,19813,0.06855379790067673,0.06855379790067673,1,Lyon,0.019093699753284454,0
2022-12-28,0.49592098593711853,2,1,1.4164299964904785,2,Lyon,565855,0,Tetê,2022,4,82,AMR,19805,0.1616780012845993,0.7894560098648071,2,Brest,0.49592098593711853,1
2022-11-11,0.22242499887943268,1,0,0.27748098969459534,1,Nice,564115,0,Tetê,2022,1,80,FWR,19792,0.05505650117993355,0.05505650117993355,2,Lyon,0.22242499887943268,0
2022-11-06,0.0,1,0,0.09750179946422577,1,Lyon,563016,0,Tetê,2022,0,12,Sub,19784,0.09750179946422577,0.0,0,Marseille,0.0,0
2022-10-16,0.0,0,0,0.0,3,Lyon,556480,0,Tetê,2022,2,1,Sub,19755,0.0,0.0,0,Rennes,0.0,0
2022-10-07,0.27052998542785645,1,1,0.44247400760650635,1,Toulouse,553793,0,Tetê,2022,1,79,AMR,19743,0.08438970148563385,0.08755429834127426,3,Lyon,0.27052998542785645,1
2022-10-02,0.0,0,0,0.0,1,Lyon,553498,0,Tetê,2022,0,90,AMR,19734,0.0,0.0,0,Lens,0.0,0
2022-09-18,0.04459410160779953,0,0,0.06673140078783035,0,Paris Saint Germain,551777,0,Tetê,2022,1,75,MR,19724,0.0,0.02213739976286888,1,Lyon,0.04459410160779953,0
2022-09-11,0.6648269891738892,1,0,1.5894999504089355,2,Lyon,550076,0,Tetê,2022,1,90,FWR,19709,0.2740510106086731,0.92466801404953,6,Monaco,0.6648269891738892,0
2022-09-07,0.3685770034790039,1,0,0.7084289789199829,3,Lyon,548598,1,Tetê,2022,1,76,FWR,19661,0.2719559967517853,0.06789659708738327,2,Lorient,0.3685770034790039,0
2022-09-03,0.0,0,0,0.16976399719715118,5,Angers,547524,0,Tetê,2022,0,66,FWR,19704,0.0,0.16976399719715118,0,Lyon,0.0,0
2022-08-31,1.297569990158081,0,1,1.4261200428009033,2,Auxerre,546136,0,Tetê,2022,1,68,FWR,19692,0.0,0.1285579949617386,4,Lyon,1.297569990158081,1
2022-08-28,0.04977880045771599,1,0,0.12201599776744843,1,Lyon,545379,0,Tetê,2022,1,69,FWR,19686,0.055814098566770554,0.01642340049147606,1,Reims,0.04977880045771599,0
2022-08-19,1.2533999681472778,1,2,1.9878400564193726,4,Troyes,542035,1,Tetê,2022,1,89,FWR,19673,0.5660060048103333,0.16843199729919434,3,Lyon,1.2533999681472778,2
2022-08-05,0.12943600118160248,0,1,0.4405690133571625,2,Ajaccio,539159,0,Tetê,2022,1,90,FWR,19648,0.0,0.3252379894256592,3,Lyon,0.12943600118160248,1
