date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2022-11-12,0.12271899729967117,1,0,0.2093929946422577,0.08667439967393875,1,Chelsea,0.12271899729967117,564742,0,Armando Broja,2022,0,75,FW,18357,1,Newcastle United,0,0
2022-11-06,0,0,0,0,0,0,Arsenal,0,562355,0,Armando Broja,2022,1,25,Sub,18343,0,Chelsea,0,0
2022-10-29,0,0,0,0,0,4,Chelsea,0,560065,0,Armando Broja,2022,1,10,Sub,18335,0,Brighton,0,0
2022-10-22,0,0,0,0,0,1,Manchester United,0,558426,0,Armando Broja,2022,1,10,Sub,18323,0,Chelsea,0,0
2022-10-19,0.057499900460243225,0,0,0.057499900460243225,0,0,Chelsea,0.057499900460243225,557603,0,Armando Broja,2022,0,65,FW,18314,1,Brentford,0,0
2022-10-16,0,0,0,0,0,0,Chelsea,0,556572,0,Armando Broja,2022,2,1,Sub,18302,0,Aston Villa,0,0
2022-10-08,0.1387770026922226,0,1,0.1387770026922226,0,3,Wolverhampton Wanderers,0.1387770026922226,554160,0,Armando Broja,2022,0,15,Sub,18295,1,Chelsea,0,1
2022-10-01,0,0,0,0,0,1,Chelsea,0,552296,0,Armando Broja,2022,2,9,Sub,18284,0,Crystal Palace,0,0
2022-09-03,0.09613069891929626,0,0,0.09613069891929626,0,2,West Ham,0.09613069891929626,547256,0,Armando Broja,2022,1,28,Sub,18260,1,Chelsea,0,0
2022-08-30,0.39603498578071594,0,0,0.39603498578071594,0,2,Chelsea,0.39603498578071594,545972,0,Armando Broja,2022,1,21,Sub,18244,1,Southampton,0,0
2022-08-14,0,0,0,0,0,2,Tottenham,0,541417,0,Armando Broja,2022,2,1,Sub,18220,0,Chelsea,0,0
2022-08-06,0.046084899455308914,0,0,0,0,0,Chelsea,0.046084899455308914,539632,0,Armando Broja,2022,1,6,Sub,18208,1,Everton,0,0
