date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-05-28,0.09433688968420029,0,0,0.1491706669330597,0,1,Bournemouth,0.09433688968420029,600977,0,Idrissa Gueye,2022,0,90,MC,18577,2,Everton,0.054833777248859406,0
2023-05-20,0.015307307243347168,1,0,0.024265175685286522,0.024265175685286522,1,Everton,0.015307307243347168,598192,0,Idrissa Gueye,2022,1,87,DMC,18571,1,Wolverhampton Wanderers,0,0
2023-05-14,0,0,0,0,0,0,Manchester City,0,596928,0,Idrissa Gueye,2022,3,58,DMC,18557,0,Everton,0,0
2023-05-08,0.026354791596531868,0,0,1.3386801481246948,0,1,Everton,0.026354791596531868,595803,0,Idrissa Gueye,2022,5,90,DMC,18543,1,Brighton,1.3386801481246948,0
2023-05-01,0.017337461933493614,0,0,0,0,2,Everton,0.017337461933493614,593584,0,Idrissa Gueye,2022,2,90,DMC,18538,1,Leicester,0,0
2023-04-27,0.10106238722801208,2,0,0.09422025084495544,0.07970229536294937,1,Newcastle United,0.10106238722801208,591837,0,Idrissa Gueye,2022,4,87,MC,18522,2,Everton,0,0
2023-04-22,0.01397043839097023,0,0,0.059961721301078796,0,0,Everton,0.01397043839097023,590100,0,Idrissa Gueye,2022,0,90,DMC,18516,1,Crystal Palace,0.059961721301078796,0
2023-04-15,0,0,0,0.5240709781646729,0,1,Fulham,0,588488,0,Idrissa Gueye,2022,3,70,MC,18504,0,Everton,0.5240709781646729,0
2023-04-08,0.017656899988651276,1,0,0.03308840095996857,0.03308840095996857,2,Everton,0.017656899988651276,586397,0,Idrissa Gueye,2022,0,61,MC,18498,1,Manchester United,0.03308840095996857,0
2023-04-03,0.11254899948835373,1,0,0.17821000516414642,0.014630899764597416,1,Tottenham,0.11254899948835373,585920,0,Idrissa Gueye,2022,1,87,DMC,18487,2,Everton,0.051030199974775314,0
2023-03-18,0,0,0,0.053599100559949875,0,2,Everton,0,583282,0,Idrissa Gueye,2022,2,82,MC,18476,0,Chelsea,0.053599100559949875,0
2023-03-11,0.02431279979646206,1,0,0.21018999814987183,0.11528199911117554,1,Brentford,0.02431279979646206,581205,0,Idrissa Gueye,2022,0,90,MC,18464,1,Everton,0.07059550285339355,0
2023-03-05,0,0,0,0.16997399926185608,0,2,Everton,0,580116,0,Idrissa Gueye,2022,2,90,MC,18459,0,Nottingham Forest,0.16997399926185608,0
2023-03-01,0,0,0,0.13059599697589874,0,4,Everton,0,578959,0,Idrissa Gueye,2022,0,50,MC,18269,0,Arsenal,0.13059599697589874,0
2023-02-25,0,0,0,0,0,0,Aston Villa,0,577804,0,Idrissa Gueye,2022,2,90,DMC,18444,0,Everton,0,0
2023-02-18,0.045547500252723694,1,0,0.2621369957923889,0.0660594031214714,1,Leeds,0.045547500252723694,576424,0,Idrissa Gueye,2022,0,90,MC,18436,1,Everton,0.15052999556064606,0
2023-02-13,0.01738929934799671,0,0,0.27586498856544495,0,2,Everton,0.01738929934799671,575879,0,Idrissa Gueye,2022,0,90,MC,18428,1,Liverpool,0.27586498856544495,0
2023-02-04,0,0,0,0,0,1,Arsenal,0,572972,0,Idrissa Gueye,2022,0,90,MC,18416,0,Everton,0,0
2023-01-21,0.017621999606490135,0,0,0.017621999606490135,0,2,Everton,0.017621999606490135,570168,0,Idrissa Gueye,2022,0,90,MC,18411,1,West Ham,0,0
2023-01-14,0,0,0,0.06568960100412369,0,1,Southampton,0,568870,0,Idrissa Gueye,2022,2,84,MC,18396,0,Everton,0.06568960100412369,0
2023-01-03,0,0,0,0.09094809740781784,0,1,Brighton,0,567049,0,Idrissa Gueye,2022,4,66,MC,18387,0,Everton,0.09094809740781784,0
2022-12-31,0,2,0,0.07600189745426178,0.07600189745426178,1,Everton,0,566464,1,Idrissa Gueye,2022,1,81,MC,18376,0,Manchester City,0,0
2022-12-26,0,1,0,0.41416099667549133,0.41416099667549133,1,Wolverhampton Wanderers,0,565541,0,Idrissa Gueye,2022,2,85,MC,18367,0,Everton,0,0
2022-11-12,0,1,0,0.46593600511550903,0.075422503054142,3,Everton,0,564586,0,Idrissa Gueye,2022,0,90,MC,18352,0,Bournemouth,0.39051398634910583,0
2022-11-05,0,0,0,0.3797700107097626,0,0,Leicester,0,562162,0,Idrissa Gueye,2022,2,48,MC,18344,0,Everton,0.3797700107097626,0
2022-10-29,0,0,0,0.6024749875068665,0,0,Everton,0,560367,0,Idrissa Gueye,2022,0,66,DMC,18337,0,Fulham,0.6024749875068665,0
2022-10-22,0,1,0,0.5517060160636902,0.037344399839639664,3,Crystal Palace,0,558268,0,Idrissa Gueye,2022,0,89,DMC,18324,0,Everton,0.5517060160636902,0
2022-10-19,0,0,0,0,0,1,Everton,0,557571,0,Idrissa Gueye,2022,0,90,MC,18319,0,Newcastle United,0,0
2022-10-15,0,0,0,0.11302500218153,0,2,Everton,0,556196,0,Idrissa Gueye,2022,0,83,MC,18310,0,Tottenham,0.11302500218153,0
2022-10-09,0,0,0,0.11020699888467789,0,1,Manchester United,0,555238,0,Idrissa Gueye,2022,2,78,MC,18297,0,Everton,0.11020699888467789,0
2022-10-01,0,0,0,0.4043009877204895,0,1,Everton,0,552322,0,Idrissa Gueye,2022,2,90,MC,18290,0,Southampton,0.4043009877204895,0
2022-09-18,0,0,0,0.23627999424934387,0,1,West Ham,0,551387,0,Idrissa Gueye,2022,0,90,MC,18277,0,Everton,0.23627999424934387,0
2022-09-03,0,0,0,0.12906500697135925,0,0,Liverpool,0,546857,0,Idrissa Gueye,2022,0,26,Sub,18252,0,Everton,0.12906500697135925,0
