date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-05-28,0,1,0,0.08244876563549042,0.47773343324661255,2,Fulham,0,601077,0,Issa Diop,2022,1,90,DC,18580,0,Manchester United,0.08244876563549042,0
2023-05-20,0,0,0,0,0,2,Crystal Palace,0,598116,0,Issa Diop,2022,2,90,DC,18564,0,Fulham,0,0
2023-05-13,0,0,0,0.13097846508026123,0,0,Fulham,0,596471,0,Issa Diop,2022,2,90,DC,18561,0,Southampton,0.13097846508026123,0
2023-05-08,0,0,0,0.03944133594632149,0,5,Leicester,0,595656,0,Issa Diop,2022,3,78,DC,18544,0,Fulham,0.03944133594632149,0
2023-05-03,0,0,0,0.22489993274211884,0,1,Fulham,0,593952,0,Issa Diop,2022,0,90,DC,18477,0,Liverpool,0.22489993274211884,0
2023-04-30,0,0,0,0,0,1,Manchester City,0,593077,0,Issa Diop,2022,2,69,Sub,18537,0,Fulham,0,0
2023-04-01,0,0,0,0.11734099686145782,0,2,Fulham,0,584659,0,Issa Diop,2022,1,90,DC,18483,0,Bournemouth,0.11734099686145782,0
2023-03-06,0,0,0,0.0940558984875679,0,3,Fulham,0,580717,0,Issa Diop,2022,2,90,DC,18454,0,Brentford,0.0940558984875679,0
2023-02-24,0,0,0,0,0,1,Wolverhampton Wanderers,0,577555,0,Issa Diop,2022,1,90,DC,18445,0,Fulham,0,0
2023-02-18,0,0,0,0.0608832985162735,0,0,Fulham,0,576339,0,Issa Diop,2022,1,90,DC,18434,0,Brighton,0.0608832985162735,0
2023-02-11,0,0,0,0.4712890088558197,0,2,Nottingham Forest,0,574872,0,Issa Diop,2022,0,90,DC,18425,0,Fulham,0.4712890088558197,0
2023-02-03,0,0,0,0,0,0,Fulham,0,572950,0,Issa Diop,2022,0,90,DC,18415,0,Chelsea,0,0
2023-01-23,0,0,0,0.11530499905347824,0,0,Tottenham,0,570964,0,Issa Diop,2022,1,90,DC,18405,0,Fulham,0.11530499905347824,0
2023-01-15,0,0,0,0,0,1,Fulham,0,569305,0,Issa Diop,2022,0,90,DC,18398,0,Newcastle United,0,0
2023-01-03,0,0,0,0,0,0,Fulham,0,567014,0,Issa Diop,2022,1,4,Sub,18389,0,Leicester,0,0
2022-12-31,0,0,0,0,0,2,Southampton,0,566414,0,Issa Diop,2022,1,90,DC,18374,0,Fulham,0,0
2022-12-26,0.018709300085902214,0,0,0.3385930061340332,0,0,Fulham,0.018709300085902214,565583,0,Issa Diop,2022,3,90,DC,18366,1,Crystal Palace,0.3385930061340332,0
2022-11-13,0,1,0,0.08488799631595612,0.049005601555109024,1,Manchester United,0,565331,0,Issa Diop,2022,2,90,DC,18354,0,Fulham,0.08488799631595612,0
2022-11-05,0.015159299597144127,0,0,0.015159299597144127,0,2,Fulham,0.015159299597144127,561897,0,Issa Diop,2022,1,90,DC,18346,1,Manchester City,0,0
2022-10-29,0,0,0,0.22334200143814087,0,0,Everton,0,560349,0,Issa Diop,2022,0,90,DC,18337,0,Fulham,0.22334200143814087,0
2022-10-20,0,0,0,0.32214298844337463,0,3,Aston Villa,0,557735,0,Issa Diop,2022,0,90,DC,18316,0,Fulham,0.32214298844337463,0
2022-10-15,0.15752500295639038,0,1,0.2509390115737915,0,2,Bournemouth,0.15752500295639038,555962,0,Issa Diop,2022,2,90,DC,18304,1,Fulham,0.2509390115737915,1
2022-10-01,0,0,0,0.4957909882068634,0,1,Newcastle United,0,552373,0,Issa Diop,2022,4,43,Sub,18285,0,Fulham,0.4957909882068634,0
2022-09-16,0,0,0,0.10239599645137787,0,2,Fulham,0,550258,0,Issa Diop,2022,3,90,DC,18273,0,Nottingham Forest,0.10239599645137787,0
2022-08-27,0,0,0,0,0,2,Fulham,0,544668,0,Issa Diop,2022,1,10,Sub,18238,0,Arsenal,0,0
