date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-30,0,0,0,0,0,1,Manchester City,0,593068,0,Tim Ream,2022,2,21,DC,18537,0,Fulham,0,0
2023-04-25,0,0,0,0,0,1,Fulham,0,591457,0,Tim Ream,2022,0,90,DC,18528,0,Aston Villa,0,0
2023-04-22,0,0,0,0,0,2,Leeds,0,589828,0,Tim Ream,2022,1,90,DC,18517,0,Fulham,0,0
2023-04-15,0,1,0,0.18003900349140167,0.019046900793910027,1,Fulham,0,588498,0,Tim Ream,2022,3,90,DC,18504,0,Everton,0.16099199652671814,0
2023-04-08,0,0,0,0.1994280070066452,0,0,West Ham,0,586777,0,Tim Ream,2022,1,90,DC,18494,0,Fulham,0.1994280070066452,0
2023-04-01,0,0,0,0.15249699354171753,0,2,Fulham,0,584660,0,Tim Ream,2022,1,90,DC,18483,0,Bournemouth,0.15249699354171753,0
2023-03-12,0,1,0,0.18506699800491333,0.024813400581479073,0,Arsenal,0,582022,0,Tim Ream,2022,3,90,DC,18465,0,Fulham,0.18506699800491333,0
2023-03-06,0,0,0,0.15862999856472015,0,3,Fulham,0,580718,0,Tim Ream,2022,2,90,DC,18454,0,Brentford,0.15862999856472015,0
2023-02-24,0,0,0,0.48325198888778687,0,1,Wolverhampton Wanderers,0,577556,0,Tim Ream,2022,1,90,DC,18445,0,Fulham,0.48325198888778687,0
2023-02-18,0,0,0,0.08346880227327347,0,0,Fulham,0,576340,0,Tim Ream,2022,1,90,DC,18434,0,Brighton,0.08346880227327347,0
2023-02-11,0,1,0,0.14684300124645233,0.027938300743699074,2,Nottingham Forest,0,574873,0,Tim Ream,2022,0,90,DC,18425,0,Fulham,0.1189040020108223,0
2023-02-03,0,0,0,0.12384600192308426,0,0,Fulham,0,572951,0,Tim Ream,2022,0,90,DC,18415,0,Chelsea,0.12384600192308426,0
2023-01-23,0,0,0,0.2207619994878769,0,0,Tottenham,0,570965,0,Tim Ream,2022,1,90,DC,18405,0,Fulham,0.2207619994878769,0
2023-01-15,0,0,0,0,0,1,Fulham,0,569306,0,Tim Ream,2022,0,90,DC,18398,0,Newcastle United,0,0
2023-01-12,0,0,0,0.4160819947719574,0,2,Chelsea,0,568529,0,Tim Ream,2022,1,90,DC,18262,0,Fulham,0.4160819947719574,0
2023-01-03,0,0,0,0.6779639720916748,0,0,Fulham,0,567005,0,Tim Ream,2022,1,90,DC,18389,0,Leicester,0.6779639720916748,0
2022-12-31,0,0,0,0,0,2,Southampton,0,566415,0,Tim Ream,2022,1,90,DC,18374,0,Fulham,0,0
2022-12-26,0.12638500332832336,0,1,0.8384360074996948,0,0,Fulham,0.12638500332832336,565584,0,Tim Ream,2022,3,90,DC,18366,1,Crystal Palace,0.8384360074996948,1
2022-11-13,0.33990800380706787,0,0,0.08488799631595612,0,1,Manchester United,0.33990800380706787,565332,0,Tim Ream,2022,2,90,DC,18354,1,Fulham,0.08488799631595612,0
2022-11-05,0,0,0,0.05197570100426674,0,2,Fulham,0,561898,0,Tim Ream,2022,1,90,DC,18346,0,Manchester City,0.05197570100426674,0
2022-10-29,0.028107399120926857,0,0,0.09443490207195282,0,0,Everton,0.028107399120926857,560350,0,Tim Ream,2022,0,90,DC,18337,1,Fulham,0.09443490207195282,0
2022-10-23,0,0,0,0.45456698536872864,0,2,Fulham,0,558828,0,Tim Ream,2022,3,90,DC,18325,0,Leeds,0.45456698536872864,0
2022-10-20,0,0,0,0.34477698802948,0,3,Aston Villa,0,557736,0,Tim Ream,2022,0,90,DC,18316,0,Fulham,0.34477698802948,0
2022-10-15,0,0,0,0.154229998588562,0,2,Bournemouth,0,555963,0,Tim Ream,2022,2,90,DC,18304,0,Fulham,0.154229998588562,0
2022-10-09,0,0,0,0.0932094007730484,0,3,Fulham,0,554754,0,Tim Ream,2022,1,90,DC,18301,0,West Ham,0.0932094007730484,0
2022-10-01,0,0,0,0.4957909882068634,0,1,Newcastle United,0,552362,0,Tim Ream,2022,4,90,DC,18285,0,Fulham,0.4957909882068634,0
2022-09-16,0,0,0,0.5456079840660095,0,2,Fulham,0,550260,0,Tim Ream,2022,3,90,DL,18273,0,Nottingham Forest,0.5456079840660095,0
2022-09-03,0,0,0,0.05429289862513542,0,2,Fulham,0,547169,0,Tim Ream,2022,1,90,DC,18255,0,Tottenham,0.05429289862513542,0
2022-08-30,0,0,0,0.08683779835700989,0,2,Brighton,0,545826,0,Tim Ream,2022,1,90,DC,18242,0,Fulham,0.08683779835700989,0
2022-08-27,0,0,0,0.09055259823799133,0,2,Fulham,0,544659,0,Tim Ream,2022,1,89,DC,18238,0,Arsenal,0.09055259823799133,0
2022-08-20,0,0,0,0.2897239923477173,0,3,Brentford,0,542398,0,Tim Ream,2022,2,90,DC,18225,0,Fulham,0.2897239923477173,0
2022-08-13,0,0,0,0,0,0,Fulham,0,540631,0,Tim Ream,2022,0,90,DC,18216,0,Wolverhampton Wanderers,0,0
2022-08-06,0,0,0,0.15326200425624847,0,2,Liverpool,0,539184,0,Tim Ream,2022,2,90,DC,18203,0,Fulham,0.15326200425624847,0
